time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-21,1.0,,,,0.182,,,,8.33
2020-02-22,0.0,,,,0.0,,,,8.33
2020-02-23,0.0,,,,0.0,,,,8.33
2020-02-24,0.0,,,,0.0,,,,8.33
2020-02-25,0.0,,,,0.0,,,,8.33
2020-02-26,1.0,0.286,,,0.182,0.052,,,8.33
2020-02-27,0.0,0.286,,,0.0,0.052,,,8.33
2020-02-28,0.0,0.143,,,0.0,0.026,,,13.89
2020-02-29,2.0,0.429,,,0.364,0.078,,,25.0
2020-03-01,6.0,1.286,,,1.093,0.234,,,25.0
2020-03-02,3.0,1.714,,,0.546,0.312,,,25.0
2020-03-03,0.0,1.714,,,0.0,0.312,,,25.0
2020-03-04,0.0,1.571,,,0.0,0.286,,,25.0
2020-03-05,3.0,2.0,,,0.546,0.364,,,25.0
2020-03-06,6.0,2.857,,,1.093,0.52,,,37.96
2020-03-07,0.0,2.571,,,0.0,0.468,,,37.96
2020-03-08,10.0,3.143,,,1.822,0.572,,,37.96
2020-03-09,0.0,2.714,,,0.0,0.494,,,37.96
2020-03-10,9.0,4.0,1.0,,1.639,0.729,0.182,,37.96
2020-03-11,20.0,6.857,2.0,,3.643,1.249,0.364,,37.96
2020-03-12,0.0,6.429,0.0,,0.0,1.171,0.0,,37.96
2020-03-13,16.0,7.857,0.0,,2.915,1.431,0.0,,37.96
2020-03-14,16.0,10.143,0.0,,2.915,1.848,0.0,,37.96
2020-03-15,17.0,11.143,0.0,0.429,3.097,2.03,0.0,0.078,37.96
2020-03-16,0.0,11.143,0.0,0.429,0.0,2.03,0.0,0.078,52.78
2020-03-17,10.0,11.286,0.0,0.286,1.822,2.056,0.0,0.052,52.78
2020-03-18,13.0,10.286,0.0,0.0,2.368,1.874,0.0,0.0,85.19
2020-03-19,24.0,13.714,1.0,0.143,4.372,2.498,0.182,0.026,85.19
2020-03-20,6.0,12.286,0.0,0.143,1.093,2.238,0.0,0.026,85.19
2020-03-21,24.0,13.429,0.0,0.143,4.372,2.446,0.0,0.026,85.19
2020-03-22,61.0,19.714,0.0,0.143,11.112,3.591,0.0,0.026,85.19
2020-03-23,19.0,22.429,0.0,0.143,3.461,4.086,0.0,0.026,85.19
2020-03-24,51.0,28.286,0.0,0.143,9.29,5.152,0.0,0.026,85.19
2020-03-25,15.0,28.571,2.0,0.429,2.732,5.205,0.364,0.078,85.19
2020-03-26,35.0,30.143,0.0,0.286,6.376,5.491,0.0,0.052,85.19
2020-03-27,23.0,32.571,2.0,0.571,4.19,5.933,0.364,0.104,85.19
2020-03-28,21.0,32.143,0.0,0.571,3.825,5.855,0.0,0.104,85.19
2020-03-29,26.0,27.143,2.0,0.857,4.736,4.944,0.364,0.156,85.19
2020-03-30,8.0,25.571,1.0,1.0,1.457,4.658,0.182,0.182,85.19
2020-03-31,24.0,21.714,1.0,1.143,4.372,3.955,0.182,0.208,85.19
2020-04-01,9.0,20.857,2.0,1.143,1.639,3.799,0.364,0.208,85.19
2020-04-02,15.0,18.0,2.0,1.429,2.732,3.279,0.364,0.26,85.19
2020-04-03,14.0,16.714,1.0,1.286,2.55,3.045,0.182,0.234,85.19
2020-04-04,12.0,15.429,0.0,1.286,2.186,2.81,0.0,0.234,85.19
2020-04-05,7.0,12.714,1.0,1.143,1.275,2.316,0.182,0.208,85.19
2020-04-06,14.0,13.571,1.0,1.143,2.55,2.472,0.182,0.208,85.19
2020-04-07,7.0,11.143,0.0,1.0,1.275,2.03,0.0,0.182,85.19
2020-04-08,28.0,13.857,0.0,0.714,5.1,2.524,0.0,0.13,85.19
2020-04-09,6.0,12.571,0.0,0.429,1.093,2.29,0.0,0.078,85.19
2020-04-10,27.0,14.429,1.0,0.429,4.918,2.628,0.182,0.078,85.19
2020-04-11,10.0,14.143,0.0,0.429,1.822,2.576,0.0,0.078,85.19
2020-04-12,11.0,14.714,0.0,0.286,2.004,2.68,0.0,0.052,85.19
2020-04-13,2.0,13.0,0.0,0.143,0.364,2.368,0.0,0.026,85.19
2020-04-14,9.0,13.286,1.0,0.286,1.639,2.42,0.182,0.052,85.19
2020-04-15,17.0,11.714,0.0,0.286,3.097,2.134,0.0,0.052,85.19
2020-04-16,5.0,11.571,0.0,0.286,0.911,2.108,0.0,0.052,85.19
2020-04-17,5.0,8.429,0.0,0.143,0.911,1.535,0.0,0.026,85.19
2020-04-18,4.0,7.571,0.0,0.143,0.729,1.379,0.0,0.026,85.19
2020-04-19,1.0,6.143,0.0,0.143,0.182,1.119,0.0,0.026,85.19
2020-04-20,4.0,6.429,0.0,0.143,0.729,1.171,0.0,0.026,85.19
2020-04-21,0.0,5.143,0.0,0.0,0.0,0.937,0.0,0.0,85.19
2020-04-22,5.0,3.429,1.0,0.143,0.911,0.625,0.182,0.026,85.19
2020-04-23,6.0,3.571,0.0,0.143,1.093,0.651,0.0,0.026,85.19
2020-04-24,8.0,4.0,0.0,0.143,1.457,0.729,0.0,0.026,85.19
2020-04-25,8.0,4.571,2.0,0.429,1.457,0.833,0.364,0.078,85.19
2020-04-26,3.0,4.857,0.0,0.429,0.546,0.885,0.0,0.078,85.19
2020-04-27,3.0,4.714,0.0,0.429,0.546,0.859,0.0,0.078,81.48
2020-04-28,7.0,5.714,0.0,0.429,1.275,1.041,0.0,0.078,81.48
2020-04-29,4.0,5.571,0.0,0.286,0.729,1.015,0.0,0.052,81.48
2020-04-30,4.0,5.286,0.0,0.286,0.729,0.963,0.0,0.052,81.48
2020-05-01,4.0,4.714,0.0,0.286,0.729,0.859,0.0,0.052,81.48
2020-05-02,4.0,4.143,1.0,0.143,0.729,0.755,0.182,0.026,81.48
2020-05-03,4.0,4.286,0.0,0.143,0.729,0.781,0.0,0.026,77.78
2020-05-04,3.0,4.286,0.0,0.143,0.546,0.781,0.0,0.026,77.78
2020-05-05,1.0,3.429,0.0,0.143,0.182,0.625,0.0,0.026,77.78
2020-05-06,9.0,4.143,0.0,0.143,1.639,0.755,0.0,0.026,77.78
2020-05-07,34.0,8.429,0.0,0.143,6.193,1.535,0.0,0.026,77.78
2020-05-08,12.0,9.571,1.0,0.286,2.186,1.744,0.182,0.052,77.78
2020-05-09,13.0,10.857,0.0,0.143,2.368,1.978,0.0,0.026,77.78
2020-05-10,36.0,15.429,0.0,0.143,6.558,2.81,0.0,0.026,77.78
2020-05-11,14.0,17.0,0.0,0.143,2.55,3.097,0.0,0.026,77.78
2020-05-12,11.0,18.429,0.0,0.143,2.004,3.357,0.0,0.026,77.78
2020-05-13,8.0,18.286,0.0,0.143,1.457,3.331,0.0,0.026,85.19
2020-05-14,8.0,14.571,0.0,0.143,1.457,2.654,0.0,0.026,85.19
2020-05-15,5.0,13.571,0.0,0.0,0.911,2.472,0.0,0.0,85.19
2020-05-16,11.0,13.286,0.0,0.0,2.004,2.42,0.0,0.0,85.19
2020-05-17,9.0,9.429,0.0,0.0,1.639,1.717,0.0,0.0,85.19
2020-05-18,20.0,10.286,0.0,0.0,3.643,1.874,0.0,0.0,77.78
2020-05-19,23.0,12.0,0.0,0.0,4.19,2.186,0.0,0.0,77.78
2020-05-20,7.0,11.857,0.0,0.0,1.275,2.16,0.0,0.0,77.78
2020-05-21,63.0,19.714,0.0,0.0,11.476,3.591,0.0,0.0,77.78
2020-05-22,62.0,27.857,0.0,0.0,11.294,5.074,0.0,0.0,77.78
2020-05-23,11.0,27.857,0.0,0.0,2.004,5.074,0.0,0.0,77.78
2020-05-24,17.0,29.0,0.0,0.0,3.097,5.283,0.0,0.0,77.78
2020-05-25,5.0,26.857,0.0,0.0,0.911,4.892,0.0,0.0,77.78
2020-05-26,21.0,26.571,0.0,0.0,3.825,4.84,0.0,0.0,77.78
2020-05-27,21.0,28.571,0.0,0.0,3.825,5.205,0.0,0.0,77.78
2020-05-28,7.0,20.571,0.0,0.0,1.275,3.747,0.0,0.0,77.78
2020-05-29,4.0,12.286,0.0,0.0,0.729,2.238,0.0,0.0,74.07
2020-05-30,19.0,13.429,0.0,0.0,3.461,2.446,0.0,0.0,74.07
2020-05-31,29.0,15.143,1.0,0.143,5.283,2.758,0.182,0.026,74.07
2020-06-01,13.0,16.286,0.0,0.143,2.368,2.967,0.0,0.026,74.07
2020-06-02,9.0,14.571,0.0,0.143,1.639,2.654,0.0,0.026,74.07
2020-06-03,14.0,13.571,0.0,0.143,2.55,2.472,0.0,0.026,74.07
2020-06-04,50.0,19.714,1.0,0.286,9.108,3.591,0.182,0.052,74.07
2020-06-05,6.0,20.0,0.0,0.286,1.093,3.643,0.0,0.052,74.07
2020-06-06,8.0,18.429,1.0,0.429,1.457,3.357,0.182,0.078,74.07
2020-06-07,11.0,15.857,1.0,0.429,2.004,2.889,0.182,0.078,74.07
2020-06-08,19.0,16.714,0.0,0.429,3.461,3.045,0.0,0.078,74.07
2020-06-09,18.0,18.0,0.0,0.429,3.279,3.279,0.0,0.078,74.07
2020-06-10,20.0,18.857,0.0,0.429,3.643,3.435,0.0,0.078,74.07
2020-06-11,14.0,13.714,1.0,0.429,2.55,2.498,0.182,0.078,74.07
2020-06-12,20.0,15.714,0.0,0.429,3.643,2.862,0.0,0.078,74.07
2020-06-13,20.0,17.429,1.0,0.429,3.643,3.175,0.182,0.078,74.07
2020-06-14,4.0,16.429,0.0,0.286,0.729,2.993,0.0,0.052,74.07
2020-06-15,18.0,16.286,0.0,0.286,3.279,2.967,0.0,0.052,74.07
2020-06-16,9.0,15.0,0.0,0.286,1.639,2.732,0.0,0.052,74.07
2020-06-17,16.0,14.429,0.0,0.286,2.915,2.628,0.0,0.052,74.07
2020-06-18,6.0,13.286,0.0,0.143,1.093,2.42,0.0,0.026,74.07
2020-06-19,15.0,12.571,0.0,0.143,2.732,2.29,0.0,0.026,74.07
2020-06-20,26.0,13.429,0.0,0.0,4.736,2.446,0.0,0.0,74.07
2020-06-21,51.0,20.143,0.0,0.0,9.29,3.669,0.0,0.0,74.07
2020-06-22,16.0,19.857,0.0,0.0,2.915,3.617,0.0,0.0,74.07
2020-06-23,19.0,21.286,0.0,0.0,3.461,3.877,0.0,0.0,74.07
2020-06-24,22.0,22.143,1.0,0.143,4.007,4.033,0.182,0.026,74.07
2020-06-25,18.0,23.857,0.0,0.143,3.279,4.346,0.0,0.026,74.07
2020-06-26,35.0,26.714,0.0,0.143,6.376,4.866,0.0,0.026,74.07
2020-06-27,22.0,26.143,0.0,0.143,4.007,4.762,0.0,0.026,74.07
2020-06-28,21.0,21.857,1.0,0.286,3.825,3.981,0.182,0.052,74.07
2020-06-29,5.0,20.286,0.0,0.286,0.911,3.695,0.0,0.052,74.07
2020-06-30,33.0,22.286,0.0,0.286,6.011,4.06,0.0,0.052,74.07
2020-07-01,10.0,20.571,0.0,0.143,1.822,3.747,0.0,0.026,68.52
2020-07-02,8.0,19.143,1.0,0.286,1.457,3.487,0.182,0.052,68.52
2020-07-03,34.0,19.0,0.0,0.286,6.193,3.461,0.0,0.052,68.52
2020-07-04,25.0,19.429,0.0,0.286,4.554,3.539,0.0,0.052,68.52
2020-07-05,18.0,19.0,1.0,0.286,3.279,3.461,0.182,0.052,68.52
2020-07-06,12.0,20.0,0.0,0.286,2.186,3.643,0.0,0.052,68.52
2020-07-07,22.0,18.429,0.0,0.286,4.007,3.357,0.0,0.052,68.52
2020-07-08,39.0,22.571,0.0,0.286,7.104,4.112,0.0,0.052,68.52
2020-07-09,65.0,30.714,0.0,0.143,11.84,5.595,0.0,0.026,68.52
2020-07-10,71.0,36.0,0.0,0.143,12.933,6.558,0.0,0.026,68.52
2020-07-11,86.0,44.714,0.0,0.143,15.666,8.145,0.0,0.026,68.52
2020-07-12,166.0,65.857,0.0,0.0,30.238,11.996,0.0,0.0,68.52
2020-07-13,85.0,76.286,0.0,0.0,15.483,13.896,0.0,0.0,68.52
2020-07-14,32.0,77.714,1.0,0.143,5.829,14.156,0.182,0.026,68.52
2020-07-15,91.0,85.143,1.0,0.286,16.576,15.509,0.182,0.052,68.52
2020-07-16,57.0,84.0,2.0,0.571,10.383,15.301,0.364,0.104,68.52
2020-07-17,101.0,88.286,0.0,0.571,18.398,16.082,0.0,0.104,68.52
2020-07-18,75.0,86.714,0.0,0.571,13.662,15.796,0.0,0.104,68.52
2020-07-19,84.0,75.0,0.0,0.571,15.301,13.662,0.0,0.104,68.52
2020-07-20,46.0,69.429,1.0,0.714,8.379,12.647,0.182,0.13,42.59
2020-07-21,75.0,75.571,0.0,0.571,13.662,13.766,0.0,0.104,42.59
2020-07-22,124.0,80.286,2.0,0.714,22.588,14.625,0.364,0.13,42.59
2020-07-23,156.0,94.429,0.0,0.429,28.417,17.201,0.0,0.078,44.44
2020-07-24,147.0,101.0,3.0,0.857,26.777,18.398,0.546,0.156,41.67
2020-07-25,175.0,115.286,1.0,1.0,31.878,21.0,0.182,0.182,41.67
2020-07-26,168.0,127.286,4.0,1.571,30.603,23.186,0.729,0.286,41.67
2020-07-27,132.0,139.571,0.0,1.429,24.045,25.424,0.0,0.26,41.67
2020-07-28,141.0,149.0,3.0,1.857,25.684,27.142,0.546,0.338,42.59
2020-07-29,182.0,157.286,1.0,1.714,33.153,28.651,0.182,0.312,42.59
2020-07-30,129.0,153.429,2.0,2.0,23.498,27.948,0.364,0.364,64.81
2020-07-31,221.0,164.0,4.0,2.143,40.257,29.874,0.729,0.39,64.81
2020-08-01,175.0,164.0,0.0,2.0,31.878,29.874,0.0,0.364,64.81
2020-08-02,155.0,162.143,1.0,1.571,28.234,29.536,0.182,0.286,64.81
2020-08-03,177.0,168.571,3.0,2.0,32.242,30.707,0.546,0.364,64.81
2020-08-04,0.0,148.429,0.0,1.571,0.0,27.037,0.0,0.286,61.11
2020-08-05,355.0,173.143,3.0,1.857,64.666,31.539,0.546,0.338,61.11
2020-08-06,255.0,191.143,2.0,1.857,46.45,34.818,0.364,0.338,64.81
2020-08-07,279.0,199.429,0.0,1.286,50.822,36.327,0.0,0.234,64.81
2020-08-08,272.0,213.286,8.0,2.429,49.547,38.852,1.457,0.442,64.81
2020-08-09,294.0,233.143,0.0,2.286,53.554,42.469,0.0,0.416,64.81
2020-08-10,295.0,250.0,2.0,2.143,53.737,45.539,0.364,0.39,64.81
2020-08-11,309.0,294.143,7.0,3.143,56.287,53.58,1.275,0.572,24.07
2020-08-12,292.0,285.143,2.0,3.0,53.19,51.941,0.364,0.546,24.07
2020-08-13,298.0,291.286,3.0,3.143,54.283,53.06,0.546,0.572,24.07
2020-08-14,334.0,299.143,2.0,3.429,60.841,54.491,0.364,0.625,24.07
2020-08-15,397.0,317.0,3.0,2.714,72.317,57.744,0.546,0.494,24.07
2020-08-16,439.0,337.714,6.0,3.571,79.967,61.517,1.093,0.651,24.07
2020-08-17,456.0,360.714,2.0,3.571,83.064,65.707,0.364,0.651,24.07
2020-08-18,421.0,376.714,2.0,2.857,76.688,68.621,0.364,0.52,24.07
2020-08-19,589.0,419.143,2.0,2.857,107.291,76.35,0.364,0.52,24.07
2020-08-20,605.0,463.0,4.0,3.0,110.206,84.339,0.729,0.546,24.07
2020-08-21,628.0,505.0,3.0,3.143,114.395,91.99,0.546,0.572,75.93
2020-08-22,611.0,535.571,5.0,3.429,111.298,97.559,0.911,0.625,75.93
2020-08-23,507.0,545.286,2.0,2.857,92.354,99.328,0.364,0.52,75.93
2020-08-24,457.0,545.429,3.0,3.0,83.246,99.354,0.546,0.546,75.93
2020-08-25,532.0,561.286,12.0,4.429,96.908,102.243,2.186,0.807,75.93
2020-08-26,561.0,557.286,1.0,4.286,102.191,101.514,0.182,0.781,75.93
2020-08-27,689.0,569.286,7.0,4.714,125.507,103.7,1.275,0.859,75.93
2020-08-28,676.0,576.143,2.0,4.571,123.139,104.949,0.364,0.833,75.93
2020-08-29,662.0,583.429,7.0,4.857,120.589,106.276,1.275,0.885,75.93
2020-08-30,595.0,596.0,5.0,5.286,108.384,108.566,0.911,0.963,75.93
2020-08-31,438.0,593.286,7.0,5.857,79.785,108.072,1.275,1.067,75.93
2020-09-01,469.0,584.286,4.0,4.714,85.432,106.432,0.729,0.859,75.93
2020-09-02,598.0,589.571,6.0,5.429,108.93,107.395,1.093,0.989,75.93
2020-09-03,588.0,575.143,2.0,4.714,107.109,104.767,0.364,0.859,75.93
2020-09-04,527.0,553.857,4.0,5.0,95.997,100.889,0.729,0.911,75.93
2020-09-05,521.0,533.714,4.0,4.571,94.904,97.22,0.729,0.833,75.93
2020-09-06,415.0,508.0,4.0,4.429,75.596,92.536,0.729,0.807,75.93
2020-09-07,400.0,502.571,9.0,4.714,72.863,91.547,1.639,0.859,75.93
2020-09-08,498.0,506.714,7.0,5.143,90.715,92.302,1.275,0.937,72.22
2020-09-09,553.0,500.286,5.0,5.0,100.733,91.131,0.911,0.911,72.22
2020-09-10,560.0,496.286,7.0,5.714,102.008,90.402,1.275,1.041,72.22
2020-09-11,546.0,499.0,10.0,6.571,99.458,90.897,1.822,1.197,72.22
2020-09-12,686.0,522.571,10.0,7.429,124.96,95.19,1.822,1.353,72.22
2020-09-13,641.0,554.857,2.0,7.143,116.763,101.072,0.364,1.301,72.22
2020-09-14,1091.0,653.571,5.0,6.571,198.734,119.053,0.911,1.197,72.22
2020-09-15,48.0,589.286,6.0,6.429,8.744,107.343,1.093,1.171,72.22
2020-09-16,634.0,600.857,7.0,6.714,115.488,109.451,1.275,1.223,72.22
2020-09-17,685.0,618.714,4.0,6.286,124.778,112.704,0.729,1.145,72.22
2020-09-18,750.0,647.857,18.0,7.429,136.618,118.012,3.279,1.353,72.22
2020-09-19,779.0,661.143,5.0,6.714,141.901,120.432,0.911,1.223,72.22
2020-09-20,1006.0,713.286,11.0,8.0,183.251,129.931,2.004,1.457,72.22
2020-09-21,684.0,655.143,10.0,8.714,124.596,119.339,1.822,1.587,72.22
2020-09-22,865.0,771.857,8.0,9.0,157.567,140.6,1.457,1.639,72.22
2020-09-23,940.0,815.571,13.0,9.857,171.228,148.563,2.368,1.796,72.22
2020-09-24,1027.0,864.429,1.0,9.429,187.076,157.462,0.182,1.717,72.22
2020-09-25,1143.0,920.571,4.0,7.429,208.206,167.689,0.729,1.353,72.22
2020-09-26,1280.0,992.143,7.0,7.714,233.162,180.727,1.275,1.405,72.22
2020-09-27,1012.0,993.0,7.0,7.143,184.344,180.883,1.275,1.301,72.22
2020-09-28,1018.0,1040.714,4.0,6.286,185.437,189.574,0.729,1.145,70.37
2020-09-29,1105.0,1075.0,10.0,6.571,201.284,195.82,1.822,1.197,70.37
2020-09-30,1257.0,1120.286,6.0,5.571,228.972,204.069,1.093,1.015,70.37
2020-10-01,1248.0,1151.857,7.0,6.429,227.333,209.82,1.275,1.171,70.37
2020-10-02,1291.0,1173.0,12.0,7.571,235.166,213.671,2.186,1.379,70.37
2020-10-03,1321.0,1178.857,12.0,8.286,240.631,214.738,2.186,1.509,70.37
2020-10-04,988.0,1175.429,8.0,8.429,179.972,214.114,1.457,1.535,70.37
2020-10-05,1175.0,1197.857,8.0,9.0,214.035,218.199,1.457,1.639,70.37
2020-10-06,1261.0,1220.143,10.0,9.0,229.701,222.259,1.822,1.639,70.37
2020-10-07,1459.0,1249.0,9.0,9.429,265.768,227.515,1.639,1.717,70.37
2020-10-08,1367.0,1266.0,6.0,9.286,249.01,230.612,1.093,1.691,70.37
2020-10-09,1426.0,1285.286,11.0,9.143,259.757,234.125,2.004,1.665,70.37
2020-10-10,1388.0,1294.857,5.0,8.143,252.835,235.868,0.911,1.483,70.37
2020-10-11,1010.0,1298.0,4.0,7.571,183.979,236.441,0.729,1.379,70.37
2020-10-12,1056.0,1281.0,7.0,7.429,192.359,233.344,1.275,1.353,70.37
2020-10-13,1245.0,1278.714,13.0,7.857,226.787,232.928,2.368,1.431,70.37
2020-10-14,1377.0,1267.0,20.0,9.429,250.831,230.794,3.643,1.717,59.26
2020-10-15,1499.0,1285.857,2.0,8.857,273.055,234.229,0.364,1.613,59.26
2020-10-16,1368.0,1277.571,8.0,8.429,249.192,232.72,1.457,1.535,59.26
2020-10-17,1171.0,1246.571,8.0,8.857,213.307,227.073,1.457,1.613,59.26
2020-10-18,1002.0,1245.429,3.0,8.714,182.522,226.865,0.546,1.587,59.26
2020-10-19,658.0,1188.571,6.0,8.571,119.86,216.508,1.093,1.561,59.26
2020-10-20,1392.0,1209.571,5.0,7.429,253.564,220.333,0.911,1.353,59.26
2020-10-21,1241.0,1190.143,5.0,5.286,226.058,216.794,0.911,0.963,59.26
2020-10-22,1450.0,1183.143,16.0,7.286,264.129,215.519,2.915,1.327,59.26
2020-10-23,1452.0,1195.143,7.0,7.143,264.493,217.705,1.275,1.301,59.26
2020-10-24,1427.0,1231.714,3.0,6.429,259.939,224.366,0.546,1.171,59.26
2020-10-25,1484.0,1300.571,3.0,6.429,270.322,236.909,0.546,1.171,59.26
2020-10-26,796.0,1320.286,14.0,7.571,144.998,240.5,2.55,1.379,59.26
2020-10-27,1809.0,1379.857,11.0,8.429,329.524,251.352,2.004,1.535,59.26
2020-10-28,1850.0,1466.857,12.0,9.429,336.992,267.2,2.186,1.717,57.41
2020-10-29,1933.0,1535.857,8.0,8.286,352.111,279.768,1.457,1.509,57.41
2020-10-30,1751.0,1578.571,15.0,9.429,318.958,287.549,2.732,1.717,57.41
2020-10-31,1699.0,1617.429,12.0,10.714,309.486,294.627,2.186,1.952,57.41
2020-11-01,1389.0,1603.857,6.0,11.143,253.017,292.155,1.093,2.03,57.41
2020-11-02,1080.0,1644.429,9.0,10.429,196.73,299.546,1.639,1.9,57.41
2020-11-03,1512.0,1602.0,15.0,11.0,275.423,291.817,2.732,2.004,57.41
2020-11-04,1888.0,1607.429,9.0,10.571,343.914,292.806,1.639,1.926,57.41
2020-11-05,2089.0,1629.714,7.0,10.429,380.528,296.865,1.275,1.9,57.41
2020-11-06,2142.0,1685.571,17.0,10.714,390.182,307.04,3.097,1.952,57.41
2020-11-07,1769.0,1695.571,13.0,10.857,322.237,308.862,2.368,1.978,57.41
2020-11-08,1139.0,1659.857,10.0,11.429,207.478,302.356,1.822,2.082,57.41
2020-11-09,1119.0,1665.429,9.0,11.429,203.835,303.371,1.639,2.082,57.41
2020-11-10,1552.0,1671.143,17.0,11.714,282.709,304.412,3.097,2.134,57.41
2020-11-11,1922.0,1676.0,14.0,12.429,350.107,305.297,2.55,2.264,57.41
2020-11-12,1874.0,1645.286,12.0,13.143,341.364,299.702,2.186,2.394,57.41
2020-11-13,1904.0,1611.286,21.0,13.714,346.829,293.508,3.825,2.498,57.41
2020-11-14,1660.0,1595.714,10.0,13.286,302.382,290.672,1.822,2.42,87.04
2020-11-15,1163.0,1599.143,11.0,13.429,211.85,291.296,2.004,2.446,87.04
2020-11-16,1016.0,1584.429,10.0,13.571,185.072,288.616,1.822,2.472,87.04
2020-11-17,1507.0,1578.0,12.0,12.857,274.512,287.445,2.186,2.342,87.04
2020-11-18,2084.0,1601.143,13.0,12.714,379.617,291.661,2.368,2.316,87.04
2020-11-19,1909.0,1606.143,16.0,13.286,347.739,292.572,2.915,2.42,87.04
2020-11-20,1709.0,1578.286,16.0,12.571,311.308,287.497,2.915,2.29,87.04
2020-11-21,1628.0,1573.714,10.0,12.571,296.553,286.664,1.822,2.29,87.04
2020-11-22,1193.0,1578.0,6.0,11.857,217.314,287.445,1.093,2.16,87.04
2020-11-23,1041.0,1581.571,11.0,12.0,189.626,288.096,2.004,2.186,87.04
2020-11-24,1188.0,1536.0,23.0,13.571,216.404,279.794,4.19,2.472,87.04
2020-11-25,1636.0,1472.0,16.0,14.0,298.01,268.136,2.915,2.55,87.04
2020-11-26,1859.0,1464.857,24.0,15.143,338.631,266.835,4.372,2.758,87.04
2020-11-27,1782.0,1475.286,6.0,13.714,324.605,268.735,1.093,2.498,87.04
2020-11-28,1696.0,1485.0,11.0,13.857,308.94,270.504,2.004,2.524,87.04
2020-11-29,1266.0,1495.429,13.0,14.857,230.612,272.404,2.368,2.706,87.04
2020-11-30,1000.0,1489.571,14.0,15.286,182.158,271.337,2.55,2.784,87.04
2020-12-01,1511.0,1535.714,15.0,14.143,275.241,279.742,2.732,2.576,87.04
2020-12-02,1842.0,1565.143,22.0,15.0,335.535,285.103,4.007,2.732,87.04
2020-12-03,1520.0,1516.714,12.0,13.286,276.88,276.281,2.186,2.42,87.04
2020-12-04,1478.0,1473.286,11.0,14.0,269.229,268.371,2.004,2.55,87.04
2020-12-05,0.0,1231.0,0.0,12.429,0.0,224.236,0.0,2.264,87.04
2020-12-06,2817.0,1452.571,21.0,13.571,513.139,264.597,3.825,2.472,87.04
2020-12-07,984.0,1450.286,16.0,13.857,179.243,264.181,2.915,2.524,87.04
2020-12-08,1039.0,1382.857,21.0,14.714,189.262,251.898,3.825,2.68,87.04
2020-12-09,1274.0,1301.714,20.0,14.429,232.069,237.117,3.643,2.628,87.04
2020-12-10,1778.0,1338.571,14.0,14.714,323.877,243.831,2.55,2.68,87.04
2020-12-11,1518.0,1344.286,12.0,14.857,276.516,244.872,2.186,2.706,87.04
2020-12-12,1540.0,1564.286,8.0,16.0,280.523,284.947,1.457,2.915,87.04
2020-12-13,1275.0,1344.0,10.0,14.429,232.251,244.82,1.822,2.628,84.26
2020-12-14,1093.0,1359.571,10.0,13.571,199.099,247.657,1.822,2.472,84.26
2020-12-15,1264.0,1391.714,13.0,12.429,230.248,253.512,2.368,2.264,84.26
2020-12-16,2056.0,1503.429,11.0,11.143,374.517,273.861,2.004,2.03,84.26
2020-12-17,2116.0,1551.714,14.0,11.143,385.446,282.657,2.55,2.03,84.26
2020-12-18,1895.0,1605.571,11.0,11.0,345.189,292.467,2.004,2.004,84.26
2020-12-19,1626.0,1617.857,11.0,11.429,296.189,294.705,2.004,2.082,84.26
2020-12-20,1534.0,1654.857,11.0,11.571,279.43,301.445,2.004,2.108,84.26
2020-12-21,1182.0,1667.571,13.0,12.0,215.311,303.761,2.368,2.186,84.26
2020-12-22,1693.0,1728.857,17.0,12.571,308.393,314.925,3.097,2.29,84.26
2020-12-23,2246.0,1756.0,22.0,14.143,409.127,319.869,4.007,2.576,84.26
2020-12-24,2708.0,1840.571,20.0,15.0,493.283,335.275,3.643,2.732,84.26
2020-12-25,2136.0,1875.0,14.0,15.429,389.089,341.546,2.55,2.81,84.26
2020-12-26,1403.0,1843.143,12.0,15.571,255.567,335.743,2.186,2.836,84.26
2020-12-27,1754.0,1874.571,15.0,16.143,319.505,341.468,2.732,2.941,84.26
2020-12-28,1594.0,1933.429,15.0,16.429,290.36,352.189,2.732,2.993,84.26
2020-12-29,2298.0,2019.857,21.0,17.0,418.599,367.933,3.825,3.097,84.26
2020-12-30,2878.0,2110.143,26.0,17.571,524.25,384.379,4.736,3.201,84.26
2020-12-31,3507.0,2224.286,12.0,16.429,638.828,405.171,2.186,2.993,84.26
2021-01-01,2385.0,2259.857,11.0,16.0,434.446,411.651,2.004,2.915,84.26
2021-01-02,2520.0,2419.429,10.0,15.714,459.038,440.718,1.822,2.862,84.26
2021-01-03,2870.0,2578.857,10.0,15.0,522.793,469.759,1.822,2.732,84.26
2021-01-04,2861.0,2759.857,13.0,14.714,521.154,502.73,2.368,2.68,84.26
2021-01-05,3620.0,2948.714,17.0,14.143,659.411,537.131,3.097,2.576,84.26
2021-01-06,4166.0,3132.714,21.0,13.429,758.87,570.649,3.825,2.446,84.26
2021-01-07,4774.0,3313.714,16.0,14.0,869.622,603.619,2.915,2.55,78.7
2021-01-08,5440.0,3750.143,4.0,13.0,990.939,683.118,0.729,2.368,78.7
2021-01-09,5414.0,4163.571,20.0,14.429,986.203,758.427,3.643,2.628,78.7
2021-01-10,3743.0,4288.286,16.0,15.286,681.817,781.145,2.915,2.784,78.7
