time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-17,,,,,,,,,11.11
2020-02-18,,,,,,,,,11.11
2020-02-19,,,,,,,,,11.11
2020-02-20,,,,,,,,,11.11
2020-02-21,,,,,,,,,11.11
2020-02-22,,,,,,,,,11.11
2020-02-23,,,,,,,,,11.11
2020-02-24,,,,,,,,,11.11
2020-02-25,,,,,,,,,11.11
2020-02-26,,,,,,,,,11.11
2020-02-27,,,,,,,,,11.11
2020-02-28,,,,,,,,,11.11
2020-02-29,,,,,,,,,11.11
2020-03-01,,,,,,,,,11.11
2020-03-02,,,,,,,,,11.11
2020-03-03,,,,,,,,,11.11
2020-03-04,,,,,,,,,11.11
2020-03-05,,,,,,,,,11.11
2020-03-06,,,,,,,,,25.0
2020-03-07,,,,,,,,,25.0
2020-03-08,,,,,,,,,25.0
2020-03-09,,,,,,,,,30.56
2020-03-10,,,,,,,,,30.56
2020-03-11,,,,,,,,,30.56
2020-03-12,,,,,,,,,33.33
2020-03-13,,,,,,,,,33.33
2020-03-14,1.0,,,,0.056,,,,33.33
2020-03-15,0.0,,,,0.0,,,,41.67
2020-03-16,1.0,,1.0,,0.056,,0.056,,52.78
2020-03-17,4.0,,0.0,,0.224,,0.0,,83.33
2020-03-18,0.0,,0.0,,0.0,,0.0,,83.33
2020-03-19,3.0,1.286,0.0,,0.168,0.072,0.0,,83.33
2020-03-20,3.0,1.714,0.0,,0.168,0.096,0.0,,83.33
2020-03-21,5.0,2.286,0.0,0.143,0.28,0.128,0.0,0.008,83.33
2020-03-22,2.0,2.571,0.0,0.143,0.112,0.144,0.0,0.008,93.52
2020-03-23,1.0,2.571,0.0,0.0,0.056,0.144,0.0,0.0,93.52
2020-03-24,1.0,2.143,0.0,0.0,0.056,0.12,0.0,0.0,93.52
2020-03-25,3.0,2.571,0.0,0.0,0.168,0.144,0.0,0.0,93.52
2020-03-26,1.0,2.286,0.0,0.0,0.056,0.128,0.0,0.0,93.52
2020-03-27,3.0,2.286,0.0,0.0,0.168,0.128,0.0,0.0,93.52
2020-03-28,6.0,2.429,0.0,0.0,0.336,0.136,0.0,0.0,93.52
2020-03-29,0.0,2.143,0.0,0.0,0.0,0.12,0.0,0.0,93.52
2020-03-30,2.0,2.286,0.0,0.0,0.112,0.128,0.0,0.0,93.52
2020-03-31,2.0,2.429,0.0,0.0,0.112,0.136,0.0,0.0,93.52
2020-04-01,1.0,2.143,0.0,0.0,0.056,0.12,0.0,0.0,93.52
2020-04-02,8.0,3.143,0.0,0.0,0.448,0.176,0.0,0.0,93.52
2020-04-03,3.0,3.143,0.0,0.0,0.168,0.176,0.0,0.0,93.52
2020-04-04,11.0,3.857,1.0,0.143,0.616,0.216,0.056,0.008,93.52
2020-04-05,0.0,3.857,0.0,0.143,0.0,0.216,0.0,0.008,93.52
2020-04-06,9.0,4.857,1.0,0.286,0.504,0.272,0.056,0.016,93.52
2020-04-07,7.0,5.571,0.0,0.286,0.392,0.312,0.0,0.016,93.52
2020-04-08,10.0,6.857,0.0,0.286,0.56,0.384,0.0,0.016,93.52
2020-04-09,8.0,6.857,0.0,0.286,0.448,0.384,0.0,0.016,93.52
2020-04-10,31.0,10.857,0.0,0.286,1.737,0.608,0.0,0.016,93.52
2020-04-11,11.0,10.857,0.0,0.143,0.616,0.608,0.0,0.008,93.52
2020-04-12,18.0,13.429,2.0,0.429,1.009,0.753,0.112,0.024,93.52
2020-04-13,1.0,12.286,0.0,0.286,0.056,0.689,0.0,0.016,93.52
2020-04-14,11.0,12.857,0.0,0.286,0.616,0.721,0.0,0.016,93.52
2020-04-15,13.0,13.286,0.0,0.286,0.729,0.745,0.0,0.016,93.52
2020-04-16,16.0,14.429,0.0,0.286,0.897,0.809,0.0,0.016,93.52
2020-04-17,18.0,12.571,2.0,0.571,1.009,0.705,0.112,0.032,93.52
2020-04-18,21.0,14.0,0.0,0.571,1.177,0.785,0.0,0.032,96.3
2020-04-19,22.0,14.571,0.0,0.286,1.233,0.817,0.0,0.016,96.3
2020-04-20,32.0,19.0,0.0,0.286,1.793,1.065,0.0,0.016,96.3
2020-04-21,5.0,18.143,0.0,0.286,0.28,1.017,0.0,0.016,96.3
2020-04-22,22.0,19.429,1.0,0.429,1.233,1.089,0.056,0.024,96.3
2020-04-23,68.0,26.857,3.0,0.857,3.811,1.505,0.168,0.048,96.3
2020-04-24,46.0,30.857,0.0,0.571,2.578,1.729,0.0,0.032,96.3
2020-04-25,43.0,34.0,2.0,0.857,2.41,1.905,0.112,0.048,96.3
2020-04-26,27.0,34.714,2.0,1.143,1.513,1.945,0.112,0.064,96.3
2020-04-27,30.0,34.429,0.0,1.143,1.681,1.929,0.0,0.064,96.3
2020-04-28,0.0,33.714,0.0,1.143,0.0,1.889,0.0,0.064,96.3
2020-04-29,27.0,34.429,1.0,1.143,1.513,1.929,0.056,0.064,96.3
2020-04-30,42.0,30.714,0.0,0.714,2.354,1.721,0.0,0.04,96.3
2020-05-01,45.0,30.571,0.0,0.714,2.522,1.713,0.0,0.04,96.3
2020-05-02,44.0,30.714,1.0,0.571,2.466,1.721,0.056,0.032,96.3
2020-05-03,15.0,29.0,0.0,0.286,0.841,1.625,0.0,0.016,96.3
2020-05-04,27.0,28.571,2.0,0.571,1.513,1.601,0.112,0.032,96.3
2020-05-05,33.0,33.286,0.0,0.571,1.849,1.865,0.0,0.032,96.3
2020-05-06,35.0,34.429,2.0,0.714,1.961,1.929,0.112,0.04,96.3
2020-05-07,34.0,33.286,2.0,1.0,1.905,1.865,0.112,0.056,96.3
2020-05-08,68.0,36.571,1.0,1.143,3.811,2.05,0.056,0.064,96.3
2020-05-09,67.0,39.857,0.0,1.0,3.755,2.234,0.0,0.056,96.3
2020-05-10,85.0,49.857,2.0,1.286,4.764,2.794,0.112,0.072,96.3
2020-05-11,62.0,54.857,0.0,1.0,3.475,3.074,0.0,0.056,96.3
2020-05-12,85.0,62.286,1.0,1.143,4.764,3.491,0.056,0.064,96.3
2020-05-13,143.0,77.714,2.0,1.143,8.014,4.355,0.112,0.064,96.3
2020-05-14,176.0,98.0,0.0,0.857,9.863,5.492,0.0,0.048,96.3
2020-05-15,125.0,106.143,1.0,0.857,7.005,5.948,0.056,0.048,96.3
2020-05-16,120.0,113.714,3.0,1.286,6.725,6.373,0.168,0.072,96.3
2020-05-17,0.0,101.571,0.0,1.0,0.0,5.692,0.0,0.056,96.3
2020-05-18,149.0,114.0,2.0,1.286,8.35,6.389,0.112,0.072,96.3
2020-05-19,221.0,133.429,8.0,2.286,12.385,7.478,0.448,0.128,96.3
2020-05-20,132.0,131.857,2.0,2.286,7.397,7.389,0.112,0.128,96.3
2020-05-21,247.0,142.0,3.0,2.714,13.842,7.958,0.168,0.152,96.3
2020-05-22,231.0,157.143,3.0,3.0,12.946,8.807,0.168,0.168,96.3
2020-05-23,311.0,184.429,4.0,3.143,17.429,10.336,0.224,0.176,96.3
2020-05-24,370.0,237.286,3.0,3.571,20.735,13.298,0.168,0.2,96.3
2020-05-25,336.0,264.0,1.0,3.429,18.83,14.795,0.056,0.192,96.3
2020-05-26,194.0,260.143,4.0,2.857,10.872,14.579,0.224,0.16,96.3
2020-05-27,191.0,268.571,5.0,3.286,10.704,15.051,0.28,0.184,96.3
2020-05-28,203.0,262.286,12.0,4.571,11.376,14.699,0.672,0.256,96.3
2020-05-29,259.0,266.286,10.0,5.571,14.515,14.923,0.56,0.312,96.3
2020-05-30,132.0,240.714,12.0,6.714,7.397,13.49,0.672,0.376,96.3
2020-05-31,348.0,237.571,6.0,7.143,19.502,13.314,0.336,0.4,96.3
2020-06-01,249.0,225.143,8.0,8.143,13.954,12.617,0.448,0.456,96.3
2020-06-02,250.0,233.143,7.0,8.571,14.01,13.066,0.392,0.48,96.3
2020-06-03,174.0,230.714,20.0,10.714,9.751,12.93,1.121,0.6,96.3
2020-06-04,394.0,258.0,15.0,11.143,22.08,14.459,0.841,0.624,96.3
2020-06-05,331.0,268.286,58.0,18.0,18.55,15.035,3.25,1.009,96.3
2020-06-06,307.0,293.286,14.0,18.286,17.205,16.436,0.785,1.025,96.3
2020-06-07,263.0,281.143,22.0,20.571,14.739,15.756,1.233,1.153,96.3
2020-06-08,447.0,309.429,15.0,21.571,25.051,17.341,0.841,1.209,96.3
2020-06-09,364.0,325.714,22.0,23.714,20.399,18.254,1.233,1.329,96.3
2020-06-10,355.0,351.571,27.0,24.714,19.895,19.703,1.513,1.385,96.3
2020-06-11,340.0,343.857,18.0,25.143,19.054,19.27,1.009,1.409,96.3
2020-06-12,421.0,356.714,17.0,19.286,23.593,19.991,0.953,1.081,96.3
2020-06-13,509.0,385.571,16.0,19.571,28.525,21.608,0.897,1.097,96.3
2020-06-14,354.0,398.571,17.0,18.857,19.839,22.337,0.953,1.057,96.3
2020-06-15,427.0,395.714,15.0,18.857,23.93,22.176,0.841,1.057,96.3
2020-06-16,434.0,405.714,19.0,18.429,24.322,22.737,1.065,1.033,96.3
2020-06-17,545.0,432.857,14.0,16.571,30.543,24.258,0.785,0.929,96.3
2020-06-18,617.0,472.429,17.0,16.429,34.578,26.476,0.953,0.921,96.3
2020-06-19,641.0,503.857,34.0,18.857,35.923,28.237,1.905,1.057,96.3
2020-06-20,246.0,466.286,31.0,21.0,13.786,26.131,1.737,1.177,96.3
2020-06-21,390.0,471.429,17.0,21.0,21.856,26.42,0.953,1.177,96.3
2020-06-22,624.0,499.571,16.0,21.143,34.97,27.997,0.897,1.185,96.3
2020-06-23,771.0,547.714,35.0,23.429,43.208,30.695,1.961,1.313,96.3
2020-06-24,279.0,509.714,19.0,24.143,15.636,28.565,1.065,1.353,96.3
2020-06-25,800.0,535.857,22.0,24.857,44.833,30.03,1.233,1.393,96.3
2020-06-26,209.0,474.143,49.0,27.0,11.713,26.572,2.746,1.513,96.3
2020-06-27,569.0,520.286,34.0,27.429,31.888,29.158,1.905,1.537,96.3
2020-06-28,533.0,540.714,21.0,28.0,29.87,30.302,1.177,1.569,96.3
2020-06-29,479.0,520.0,19.0,28.429,26.844,29.142,1.065,1.593,96.3
2020-06-30,687.0,508.0,27.0,27.286,38.501,28.469,1.513,1.529,96.3
2020-07-01,915.0,598.857,44.0,30.857,51.278,33.561,2.466,1.729,96.3
2020-07-02,1061.0,636.143,26.0,31.429,59.46,35.65,1.457,1.761,96.3
2020-07-03,1221.0,780.714,37.0,29.714,68.427,43.752,2.074,1.665,96.3
2020-07-04,1208.0,872.0,40.0,30.571,67.698,48.868,2.242,1.713,96.3
2020-07-05,747.0,902.571,27.0,31.429,41.863,50.581,1.513,1.761,96.3
2020-07-06,724.0,937.571,34.0,33.571,40.574,52.543,1.905,1.881,96.3
2020-07-07,815.0,955.857,23.0,33.0,45.674,53.568,1.289,1.849,96.3
2020-07-08,624.0,914.286,49.0,33.714,34.97,51.238,2.746,1.889,96.3
2020-07-09,1247.0,940.857,39.0,35.571,69.884,52.727,2.186,1.993,96.3
2020-07-10,961.0,903.714,47.0,37.0,53.856,50.646,2.634,2.074,96.3
2020-07-11,979.0,871.0,33.0,36.0,54.865,48.812,1.849,2.017,96.3
2020-07-12,757.0,872.429,47.0,38.857,42.423,48.892,2.634,2.178,96.3
2020-07-13,387.0,824.286,25.0,37.571,21.688,46.194,1.401,2.106,96.3
2020-07-14,1130.0,869.286,58.0,42.571,63.327,48.716,3.25,2.386,96.3
2020-07-15,1202.0,951.857,48.0,42.429,67.362,53.344,2.69,2.378,96.3
2020-07-16,865.0,897.286,54.0,44.571,48.476,50.285,3.026,2.498,96.3
2020-07-17,870.0,884.286,39.0,43.429,48.756,49.557,2.186,2.434,96.3
2020-07-18,4233.0,1349.143,6.0,39.571,237.224,75.608,0.336,2.218,96.3
2020-07-19,635.0,1331.714,36.0,38.0,35.586,74.631,2.017,2.13,96.3
2020-07-20,362.0,1328.143,17.0,36.857,20.287,74.431,0.953,2.066,96.3
2020-07-21,1190.0,1336.714,29.0,32.714,66.689,74.911,1.625,1.833,96.3
2020-07-22,906.0,1294.429,42.0,31.857,50.774,72.542,2.354,1.785,96.3
2020-07-23,1057.0,1321.857,59.0,32.571,59.236,74.079,3.306,1.825,96.3
2020-07-24,1091.0,1353.429,37.0,32.286,61.141,75.848,2.074,1.809,96.3
2020-07-25,1209.0,921.429,30.0,35.714,67.754,51.638,1.681,2.001,96.3
2020-07-26,561.0,910.857,35.0,35.571,31.439,51.046,1.961,1.993,96.3
2020-07-27,256.0,895.714,27.0,37.0,14.347,50.197,1.513,2.074,87.04
2020-07-28,1142.0,888.857,21.0,35.857,63.999,49.813,1.177,2.009,87.04
2020-07-29,1154.0,924.286,53.0,37.429,64.672,51.798,2.97,2.098,87.04
2020-07-30,1221.0,947.714,32.0,33.571,68.427,53.111,1.793,1.881,87.04
2020-07-31,963.0,929.429,57.0,36.429,53.968,52.087,3.194,2.042,87.04
2020-08-01,1190.0,926.714,35.0,37.143,66.689,51.934,1.961,2.082,87.04
2020-08-02,327.0,893.286,36.0,37.286,18.326,50.061,2.017,2.09,87.04
2020-08-03,236.0,890.429,18.0,36.0,13.226,49.901,1.009,2.017,87.04
2020-08-04,823.0,844.857,24.0,36.429,46.122,47.347,1.345,2.042,87.04
2020-08-05,1144.0,843.429,35.0,33.857,64.111,47.267,1.961,1.897,87.04
2020-08-06,830.0,787.571,47.0,36.0,46.514,44.137,2.634,2.017,87.04
2020-08-07,931.0,783.0,49.0,34.857,52.175,43.881,2.746,1.953,87.04
2020-08-08,919.0,744.286,29.0,34.0,51.502,41.711,1.625,1.905,87.04
2020-08-09,416.0,757.0,14.0,30.857,23.313,42.423,0.785,1.729,87.04
2020-08-10,382.0,777.857,11.0,29.857,21.408,43.592,0.616,1.673,87.04
2020-08-11,979.0,800.143,11.0,28.0,54.865,44.841,0.616,1.569,87.04
2020-08-12,1123.0,797.143,34.0,27.857,62.935,44.673,1.905,1.561,87.04
2020-08-13,1195.0,849.286,29.0,25.286,66.97,47.595,1.625,1.417,87.04
2020-08-14,1144.0,879.714,45.0,24.714,64.111,49.301,2.522,1.385,87.04
2020-08-15,885.0,874.857,14.0,22.571,49.597,49.028,0.785,1.265,87.04
2020-08-16,249.0,851.0,24.0,24.0,13.954,47.691,1.345,1.345,87.04
2020-08-17,382.0,851.0,10.0,23.857,21.408,47.691,0.56,1.337,87.04
2020-08-18,903.0,840.143,30.0,26.571,50.605,47.083,1.681,1.489,87.04
2020-08-19,1034.0,827.429,48.0,28.571,57.947,46.37,2.69,1.601,87.04
2020-08-20,1102.0,814.143,39.0,30.0,61.758,45.626,2.186,1.681,87.04
2020-08-21,958.0,787.571,26.0,27.286,53.688,44.137,1.457,1.529,87.04
2020-08-22,915.0,791.857,48.0,32.143,51.278,44.377,2.69,1.801,87.04
2020-08-23,332.0,803.714,14.0,30.714,18.606,45.041,0.785,1.721,87.04
2020-08-24,345.0,798.429,17.0,31.714,19.334,44.745,0.953,1.777,87.04
2020-08-25,1118.0,829.143,19.0,30.143,62.654,46.466,1.065,1.689,87.04
2020-08-26,1063.0,833.286,32.0,27.857,59.572,46.699,1.793,1.561,87.04
2020-08-27,1142.0,839.0,23.0,25.571,63.999,47.019,1.289,1.433,87.04
2020-08-28,1065.0,854.286,24.0,25.286,59.684,47.875,1.345,1.417,87.04
2020-08-29,758.0,831.857,19.0,21.143,42.479,46.619,1.065,1.185,87.04
2020-08-30,233.0,817.714,12.0,20.857,13.058,45.826,0.672,1.169,87.04
2020-08-31,162.0,791.571,20.0,21.286,9.079,44.361,1.121,1.193,87.04
2020-09-01,819.0,748.857,18.0,21.143,45.898,41.967,1.009,1.185,87.04
2020-09-02,751.0,704.286,12.0,18.286,42.087,39.469,0.672,1.025,87.04
2020-09-03,714.0,643.143,14.0,17.0,40.014,36.043,0.785,0.953,87.04
2020-09-04,682.0,588.429,21.0,16.571,38.22,32.976,1.177,0.929,87.04
2020-09-05,441.0,543.143,20.0,16.714,24.714,30.439,1.121,0.937,87.04
2020-09-06,202.0,538.714,7.0,16.0,11.32,30.19,0.392,0.897,87.04
2020-09-07,145.0,536.286,10.0,14.571,8.126,30.054,0.56,0.817,87.04
2020-09-08,893.0,546.857,28.0,16.0,50.045,30.647,1.569,0.897,87.04
2020-09-09,901.0,568.286,7.0,15.286,50.493,31.848,0.392,0.857,87.04
2020-09-10,684.0,564.0,21.0,16.286,38.332,31.607,1.177,0.913,87.04
2020-09-11,703.0,567.0,11.0,14.857,39.397,31.776,0.616,0.833,87.04
2020-09-12,649.0,596.714,20.0,14.857,36.371,33.441,1.121,0.833,87.04
2020-09-13,251.0,603.714,8.0,15.0,14.066,33.833,0.448,0.841,87.04
2020-09-14,263.0,620.571,15.0,15.714,14.739,34.778,0.841,0.881,87.04
2020-09-15,512.0,566.143,12.0,13.429,28.693,31.728,0.672,0.753,87.04
2020-09-16,240.0,471.714,25.0,16.0,13.45,26.436,1.401,0.897,87.04
2020-09-17,740.0,479.714,27.0,16.857,41.471,26.884,1.513,0.945,87.04
2020-09-18,680.0,476.429,40.0,21.0,38.108,26.7,2.242,1.177,67.59
2020-09-19,808.0,499.143,29.0,22.286,45.282,27.973,1.625,1.249,67.59
2020-09-20,292.0,505.0,14.0,23.143,16.364,28.301,0.785,1.297,67.59
2020-09-21,237.0,501.286,5.0,21.714,13.282,28.093,0.28,1.217,67.59
2020-09-22,942.0,562.714,13.0,21.857,52.791,31.535,0.729,1.225,67.59
2020-09-23,819.0,645.429,17.0,20.714,45.898,36.171,0.953,1.161,67.59
2020-09-24,491.0,609.857,16.0,19.143,27.516,34.177,0.897,1.073,67.59
2020-09-25,945.0,647.714,16.0,15.714,52.959,36.299,0.897,0.881,67.59
2020-09-26,824.0,650.0,27.0,15.429,46.178,36.427,1.513,0.865,67.59
2020-09-27,390.0,664.0,16.0,15.714,21.856,37.212,0.897,0.881,67.59
2020-09-28,171.0,654.571,5.0,15.714,9.583,36.683,0.28,0.881,67.59
2020-09-29,705.0,620.714,4.0,14.429,39.509,34.786,0.224,0.809,67.59
2020-09-30,778.0,614.857,8.0,13.143,43.6,34.458,0.448,0.737,67.59
2020-10-01,663.0,639.429,15.0,13.0,37.156,35.835,0.841,0.729,49.54
2020-10-02,681.0,601.714,6.0,11.571,38.164,33.721,0.336,0.648,49.54
2020-10-03,658.0,578.0,18.0,10.286,36.875,32.392,1.009,0.576,49.54
2020-10-04,215.0,553.0,8.0,9.143,12.049,30.991,0.448,0.512,49.54
2020-10-05,219.0,559.857,9.0,9.714,12.273,31.375,0.504,0.544,49.54
2020-10-06,688.0,557.429,8.0,10.286,38.557,31.239,0.448,0.576,49.54
2020-10-07,834.0,565.429,25.0,12.714,46.739,31.687,1.401,0.713,49.54
2020-10-08,776.0,581.571,12.0,12.286,43.488,32.592,0.672,0.689,49.54
2020-10-09,455.0,549.286,9.0,12.714,25.499,30.783,0.504,0.713,49.54
2020-10-10,609.0,542.286,9.0,11.429,34.129,30.391,0.504,0.64,49.54
2020-10-11,171.0,536.0,19.0,13.0,9.583,30.038,1.065,0.729,49.54
2020-10-12,111.0,520.571,3.0,12.143,6.221,29.174,0.168,0.681,49.54
2020-10-13,554.0,501.429,23.0,14.286,31.047,28.101,1.289,0.801,49.54
2020-10-14,714.0,484.286,20.0,13.571,40.014,27.14,1.121,0.761,49.54
2020-10-15,671.0,469.286,23.0,15.143,37.604,26.299,1.289,0.849,49.54
2020-10-16,666.0,499.429,25.0,17.429,37.324,27.989,1.401,0.977,49.54
2020-10-17,597.0,497.714,37.0,21.429,33.457,27.893,2.074,1.201,49.54
2020-10-18,332.0,520.714,15.0,20.857,18.606,29.182,0.841,1.169,49.54
2020-10-19,239.0,539.0,11.0,22.0,13.394,30.206,0.616,1.233,49.54
2020-10-20,620.0,548.429,5.0,19.429,34.746,30.735,0.28,1.089,49.54
2020-10-21,196.0,474.429,21.0,19.571,10.984,26.588,1.177,1.097,49.54
2020-10-22,757.0,486.714,13.0,18.143,42.423,27.276,0.729,1.017,49.54
2020-10-23,730.0,495.857,14.0,16.571,40.91,27.789,0.785,0.929,49.54
2020-10-24,730.0,514.857,15.0,13.429,40.91,28.853,0.841,0.753,49.54
2020-10-25,155.0,489.571,35.0,16.286,8.686,27.436,1.961,0.913,49.54
2020-10-26,107.0,470.714,7.0,15.714,5.996,26.38,0.392,0.881,49.54
2020-10-27,677.0,478.857,14.0,17.0,37.94,26.836,0.785,0.953,49.54
2020-10-28,749.0,557.857,17.0,16.429,41.975,31.263,0.953,0.921,49.54
2020-10-29,470.0,516.857,22.0,17.714,26.34,28.965,1.233,0.993,49.54
2020-10-30,549.0,491.0,10.0,17.143,30.767,27.516,0.56,0.961,49.54
2020-10-31,600.0,472.429,15.0,17.143,33.625,26.476,0.841,0.961,49.54
2020-11-01,165.0,473.857,9.0,13.429,9.247,26.556,0.504,0.753,49.54
2020-11-02,0.0,458.571,0.0,12.429,0.0,25.699,0.0,0.697,49.54
2020-11-03,379.0,416.0,10.0,11.857,21.24,23.313,0.56,0.664,49.54
2020-11-04,664.0,403.857,4.0,10.0,37.212,22.633,0.224,0.56,49.54
2020-11-05,702.0,437.0,14.0,8.857,39.341,24.49,0.785,0.496,49.54
2020-11-06,653.0,451.857,28.0,11.429,36.595,25.323,1.569,0.64,49.54
2020-11-07,548.0,444.429,17.0,11.714,30.711,24.906,0.953,0.656,49.54
2020-11-08,212.0,451.143,10.0,11.857,11.881,25.283,0.56,0.664,49.54
2020-11-09,98.0,465.143,2.0,12.143,5.492,26.067,0.112,0.681,49.54
2020-11-10,769.0,520.857,9.0,12.0,43.096,29.19,0.504,0.672,49.54
2020-11-11,682.0,523.429,13.0,13.286,38.22,29.334,0.729,0.745,49.54
2020-11-12,732.0,527.714,13.0,13.143,41.022,29.574,0.729,0.737,49.54
2020-11-13,580.0,517.286,22.0,12.286,32.504,28.989,1.233,0.689,49.54
2020-11-14,596.0,524.143,40.0,15.571,33.401,29.374,2.242,0.873,49.54
2020-11-15,166.0,517.571,12.0,15.857,9.303,29.005,0.672,0.889,49.54
2020-11-16,147.0,524.571,6.0,16.429,8.238,29.398,0.336,0.921,49.54
2020-11-17,698.0,514.429,9.0,16.429,39.117,28.829,0.504,0.921,49.54
2020-11-18,651.0,510.0,61.0,23.286,36.483,28.581,3.419,1.305,49.54
2020-11-19,685.0,503.286,42.0,27.429,38.388,28.205,2.354,1.537,49.54
2020-11-20,691.0,519.143,17.0,26.714,38.725,29.094,0.953,1.497,49.54
2020-11-21,660.0,528.286,7.0,22.0,36.987,29.606,0.392,1.233,49.54
2020-11-22,212.0,534.857,2.0,20.571,11.881,29.974,0.112,1.153,49.54
2020-11-23,93.0,527.143,16.0,22.0,5.212,29.542,0.897,1.233,49.54
2020-11-24,627.0,517.0,7.0,21.714,35.138,28.973,0.392,1.217,49.54
2020-11-25,640.0,515.429,8.0,14.143,35.867,28.885,0.448,0.793,49.54
2020-11-26,696.0,517.0,26.0,11.857,39.005,28.973,1.457,0.664,49.54
2020-11-27,447.0,482.143,8.0,10.571,25.051,27.02,0.448,0.592,49.54
2020-11-28,666.0,483.0,20.0,12.429,37.324,27.068,1.121,0.697,49.54
2020-11-29,173.0,477.429,5.0,12.857,9.695,26.756,0.28,0.721,49.54
2020-11-30,91.0,477.143,5.0,11.286,5.1,26.74,0.28,0.632,49.54
2020-12-01,712.0,489.286,7.0,11.286,39.902,27.42,0.392,0.632,49.54
2020-12-02,686.0,495.857,13.0,12.0,38.444,27.789,0.729,0.672,49.54
2020-12-03,593.0,481.143,18.0,10.857,33.233,26.964,1.009,0.608,49.54
2020-12-04,752.0,524.714,15.0,11.857,42.143,29.406,0.841,0.664,49.54
2020-12-05,547.0,507.714,15.0,11.143,30.655,28.453,0.841,0.624,49.54
2020-12-06,198.0,511.286,11.0,12.0,11.096,28.653,0.616,0.672,49.54
2020-12-07,124.0,516.0,24.0,14.714,6.949,28.917,1.345,0.825,49.54
2020-12-08,799.0,528.429,12.0,15.429,44.777,29.614,0.672,0.865,49.54
2020-12-09,654.0,523.857,25.0,17.143,36.651,29.358,1.401,0.961,49.54
2020-12-10,659.0,533.286,34.0,19.429,36.931,29.886,1.905,1.089,49.54
2020-12-11,755.0,533.714,31.0,21.714,42.311,29.91,1.737,1.217,49.54
2020-12-12,558.0,535.286,29.0,23.714,31.271,29.998,1.625,1.329,49.54
2020-12-13,183.0,533.143,18.0,24.714,10.256,29.878,1.009,1.385,49.54
2020-12-14,123.0,533.0,22.0,24.429,6.893,29.87,1.233,1.369,49.54
2020-12-15,677.0,515.571,31.0,27.143,37.94,28.893,1.737,1.521,49.54
2020-12-16,746.0,528.714,34.0,28.429,41.807,29.63,1.905,1.593,49.54
2020-12-17,607.0,521.286,41.0,29.429,34.017,29.214,2.298,1.649,49.54
2020-12-18,627.0,503.0,38.0,30.429,35.138,28.189,2.13,1.705,49.54
2020-12-19,533.0,499.429,35.0,31.286,29.87,27.989,1.961,1.753,49.54
2020-12-20,170.0,497.571,32.0,33.286,9.527,27.885,1.793,1.865,49.54
2020-12-21,102.0,494.571,32.0,34.714,5.716,27.717,1.793,1.945,49.54
2020-12-22,734.0,502.714,30.0,34.571,41.134,28.173,1.681,1.937,49.54
2020-12-23,655.0,489.714,21.0,32.714,36.707,27.444,1.177,1.833,52.31
2020-12-24,638.0,494.143,10.0,28.286,35.754,27.693,0.56,1.585,52.31
2020-12-25,186.0,431.143,8.0,24.0,10.424,24.162,0.448,1.345,52.31
2020-12-26,91.0,368.0,6.0,19.857,5.1,20.623,0.336,1.113,52.31
2020-12-27,138.0,363.429,5.0,16.0,7.734,20.367,0.28,0.897,52.31
2020-12-28,132.0,367.714,5.0,12.143,7.397,20.607,0.28,0.681,52.31
2020-12-29,846.0,383.714,8.0,9.0,47.411,21.504,0.448,0.504,52.31
2020-12-30,879.0,415.714,22.0,9.143,49.26,23.297,1.233,0.512,52.31
2020-12-31,846.0,445.429,10.0,9.143,47.411,24.962,0.56,0.512,52.31
2021-01-01,224.0,450.857,7.0,9.0,12.553,25.267,0.392,0.504,52.31
2021-01-02,80.0,449.286,7.0,9.143,4.483,25.179,0.392,0.512,52.31
2021-01-03,159.0,452.286,6.0,9.286,8.911,25.347,0.336,0.52,52.31
2021-01-04,181.0,459.286,2.0,8.857,10.144,25.739,0.112,0.496,48.61
2021-01-05,763.0,447.429,24.0,11.143,42.76,25.075,1.345,0.624,48.61
2021-01-06,783.0,433.714,40.0,13.714,43.881,24.306,2.242,0.769,48.61
2021-01-07,872.0,437.429,29.0,16.429,48.868,24.514,1.625,0.921,48.61
2021-01-08,990.0,546.857,44.0,21.714,55.481,30.647,2.466,1.217,48.61
2021-01-09,1063.0,687.286,27.0,24.571,59.572,38.517,1.513,1.377,48.61
2021-01-10,116.0,681.143,26.0,27.429,6.501,38.172,1.457,1.537,48.61
2021-01-11,0.0,655.286,0.0,27.143,0.0,36.723,0.0,1.521,48.61
2021-01-12,1739.0,794.714,55.0,31.571,97.456,44.537,3.082,1.769,48.61
2021-01-13,1004.0,826.286,37.0,31.143,56.266,46.306,2.074,1.745,48.61
2021-01-14,951.0,837.571,34.0,31.857,53.295,46.939,1.905,1.785,59.72
2021-01-15,623.0,785.143,26.0,29.286,34.914,44.001,1.457,1.641,59.72
2021-01-16,1038.0,781.571,43.0,31.571,58.171,43.8,2.41,1.769,59.72
2021-01-17,290.0,806.429,34.0,32.714,16.252,45.193,1.905,1.833,59.72
2021-01-18,258.0,843.286,24.0,36.143,14.459,47.259,1.345,2.026,59.72
2021-01-19,1131.0,756.429,35.0,33.286,63.383,42.391,1.961,1.865,59.72
2021-01-20,1047.0,762.571,30.0,32.286,58.675,42.736,1.681,1.809,59.72
