time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-23,2.0,,,,0.267,,,,13.89
2020-01-24,0.0,,,,0.0,,,,13.89
2020-01-25,3.0,,,,0.401,,,,25.0
2020-01-26,3.0,,,,0.401,,,,36.11
2020-01-27,0.0,,,,0.0,,,,41.67
2020-01-28,0.0,1.143,,,0.0,0.153,,,45.37
2020-01-29,2.0,1.429,,,0.267,0.191,,,49.07
2020-01-30,0.0,1.143,,,0.0,0.153,,,49.07
2020-01-31,2.0,1.429,,,0.267,0.191,,,49.07
2020-02-01,1.0,1.143,,,0.134,0.153,,,49.07
2020-02-02,2.0,1.0,,,0.267,0.134,,,49.07
2020-02-03,0.0,1.0,,,0.0,0.134,,,49.07
2020-02-04,2.0,1.286,1.0,,0.267,0.172,0.134,,49.07
2020-02-05,4.0,1.571,0.0,,0.534,0.21,0.0,,52.78
2020-02-06,3.0,2.0,0.0,,0.401,0.267,0.0,,52.78
2020-02-07,1.0,1.857,0.0,,0.134,0.248,0.0,,52.78
2020-02-08,1.0,1.857,0.0,,0.134,0.248,0.0,,52.78
2020-02-09,3.0,2.0,0.0,0.143,0.401,0.267,0.0,0.019,52.78
2020-02-10,9.0,3.286,0.0,0.143,1.202,0.439,0.0,0.019,52.78
2020-02-11,11.0,4.571,0.0,0.0,1.469,0.61,0.0,0.0,52.78
2020-02-12,1.0,4.143,0.0,0.0,0.134,0.553,0.0,0.0,52.78
2020-02-13,3.0,4.143,0.0,0.0,0.401,0.553,0.0,0.0,52.78
2020-02-14,3.0,4.429,0.0,0.0,0.401,0.591,0.0,0.0,52.78
2020-02-15,0.0,4.286,0.0,0.0,0.0,0.572,0.0,0.0,52.78
2020-02-16,1.0,4.0,0.0,0.0,0.134,0.534,0.0,0.0,52.78
2020-02-17,3.0,3.143,0.0,0.0,0.401,0.42,0.0,0.0,52.78
2020-02-18,2.0,1.857,0.0,0.0,0.267,0.248,0.0,0.0,52.78
2020-02-19,1.0,1.857,1.0,0.143,0.134,0.248,0.134,0.019,52.78
2020-02-20,5.0,2.143,0.0,0.143,0.668,0.286,0.0,0.019,52.78
2020-02-21,0.0,1.714,0.0,0.143,0.0,0.229,0.0,0.019,52.78
2020-02-22,1.0,1.857,0.0,0.143,0.134,0.248,0.0,0.019,52.78
2020-02-23,5.0,2.429,0.0,0.143,0.668,0.324,0.0,0.019,52.78
2020-02-24,5.0,2.714,0.0,0.143,0.668,0.362,0.0,0.019,52.78
2020-02-25,5.0,3.143,0.0,0.143,0.668,0.42,0.0,0.019,52.78
2020-02-26,7.0,4.0,0.0,0.0,0.935,0.534,0.0,0.0,52.78
2020-02-27,1.0,3.429,0.0,0.0,0.134,0.458,0.0,0.0,52.78
2020-02-28,2.0,3.714,0.0,0.0,0.267,0.496,0.0,0.0,52.78
2020-02-29,1.0,3.714,0.0,0.0,0.134,0.496,0.0,0.0,52.78
2020-03-01,1.0,3.143,0.0,0.0,0.134,0.42,0.0,0.0,52.78
2020-03-02,4.0,3.0,0.0,0.0,0.534,0.401,0.0,0.0,49.07
2020-03-03,0.0,2.286,0.0,0.0,0.0,0.305,0.0,0.0,49.07
2020-03-04,5.0,2.0,0.0,0.0,0.668,0.267,0.0,0.0,49.07
2020-03-05,0.0,1.857,0.0,0.0,0.0,0.248,0.0,0.0,49.07
2020-03-06,2.0,1.857,0.0,0.0,0.267,0.248,0.0,0.0,49.07
2020-03-07,1.0,1.857,0.0,0.0,0.134,0.248,0.0,0.0,49.07
2020-03-08,6.0,2.571,1.0,0.143,0.801,0.343,0.134,0.019,49.07
2020-03-09,1.0,2.143,0.0,0.143,0.134,0.286,0.0,0.019,49.07
2020-03-10,5.0,2.857,0.0,0.143,0.668,0.382,0.0,0.019,49.07
2020-03-11,6.0,3.0,0.0,0.143,0.801,0.401,0.0,0.019,49.07
2020-03-12,3.0,3.429,0.0,0.143,0.401,0.458,0.0,0.019,49.07
2020-03-13,5.0,3.857,1.0,0.286,0.668,0.515,0.134,0.038,49.07
2020-03-14,6.0,4.571,0.0,0.286,0.801,0.61,0.0,0.038,49.07
2020-03-15,5.0,4.429,0.0,0.143,0.668,0.591,0.0,0.019,49.07
2020-03-16,10.0,5.714,0.0,0.143,1.335,0.763,0.0,0.019,49.07
2020-03-17,7.0,6.0,0.0,0.143,0.935,0.801,0.0,0.019,49.07
2020-03-18,19.0,7.857,0.0,0.143,2.537,1.049,0.0,0.019,49.07
2020-03-19,27.0,11.286,0.0,0.143,3.605,1.507,0.0,0.019,49.07
2020-03-20,48.0,17.429,0.0,0.0,6.41,2.327,0.0,0.0,49.07
2020-03-21,17.0,19.0,0.0,0.0,2.27,2.537,0.0,0.0,49.07
2020-03-22,44.0,24.571,0.0,0.0,5.875,3.281,0.0,0.0,49.07
2020-03-23,34.0,28.0,0.0,0.0,4.54,3.739,0.0,0.0,52.78
2020-03-24,31.0,31.429,0.0,0.0,4.139,4.197,0.0,0.0,52.78
