time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-01,3.0,,,,0.286,,,,19.44
2020-03-02,0.0,,,,0.0,,,,19.44
2020-03-03,2.0,,,,0.191,,,,19.44
2020-03-04,3.0,,,,0.286,,,,19.44
2020-03-05,4.0,,,,0.381,,,,19.44
2020-03-06,6.0,2.571,,,0.572,0.245,,,19.44
2020-03-07,1.0,2.714,,,0.095,0.259,,,19.44
2020-03-08,12.0,4.0,,,1.144,0.381,,,19.44
2020-03-09,0.0,4.0,,,0.0,0.381,,,19.44
2020-03-10,10.0,5.143,,,0.953,0.49,,,25.0
2020-03-11,50.0,11.857,,,4.765,1.13,,,47.22
2020-03-12,3.0,11.714,,,0.286,1.116,,,50.0
2020-03-13,47.0,17.571,,,4.479,1.674,,,57.41
2020-03-14,48.0,24.286,,,4.574,2.314,,,61.11
2020-03-15,64.0,31.714,,,6.099,3.022,,,68.52
2020-03-16,45.0,38.143,,,4.288,3.635,,,79.63
2020-03-17,98.0,50.714,,,9.339,4.833,,,79.63
2020-03-18,68.0,53.286,,,6.48,5.078,,,79.63
2020-03-19,230.0,85.714,,,21.917,8.168,,,79.63
2020-03-20,139.0,98.857,,,13.246,9.42,,,79.63
2020-03-21,162.0,115.143,,,15.437,10.972,,,79.63
2020-03-22,125.0,123.857,1.0,,11.912,11.803,0.095,,79.63
2020-03-23,116.0,134.0,0.0,,11.054,12.769,0.0,,82.41
2020-03-24,158.0,142.571,2.0,,15.056,13.586,0.191,,82.41
2020-03-25,260.0,170.0,3.0,,24.776,16.2,0.286,,82.41
2020-03-26,271.0,175.857,3.0,,25.824,16.758,0.286,,82.41
2020-03-27,354.0,206.571,0.0,1.286,33.734,19.685,0.0,0.123,82.41
2020-03-28,352.0,233.714,2.0,1.571,33.543,22.271,0.191,0.15,82.41
2020-03-29,186.0,242.429,5.0,2.143,17.724,23.102,0.476,0.204,82.41
2020-03-30,184.0,252.143,7.0,3.143,17.534,24.027,0.667,0.299,82.41
2020-03-31,307.0,273.429,8.0,4.0,29.255,26.056,0.762,0.381,82.41
2020-04-01,200.0,264.857,8.0,4.714,19.059,25.239,0.762,0.449,82.41
2020-04-02,350.0,276.143,5.0,5.0,33.352,26.314,0.476,0.476,74.07
2020-04-03,233.0,258.857,9.0,6.286,22.203,24.667,0.858,0.599,74.07
2020-04-04,381.0,263.0,6.0,6.857,36.306,25.062,0.572,0.653,74.07
2020-04-05,115.0,252.857,8.0,7.286,10.959,24.095,0.762,0.694,74.07
2020-04-06,235.0,260.143,11.0,7.857,22.394,24.79,1.048,0.749,74.07
2020-04-07,195.0,244.143,10.0,8.143,18.582,23.265,0.953,0.776,74.07
2020-04-08,295.0,257.714,11.0,8.571,28.111,24.558,1.048,0.817,74.07
2020-04-09,257.0,244.429,13.0,9.714,24.49,23.292,1.239,0.926,74.07
2020-04-10,163.0,234.429,7.0,9.429,15.533,22.339,0.667,0.898,74.07
2020-04-11,99.0,194.143,10.0,10.0,9.434,18.5,0.953,0.953,74.07
2020-04-12,160.0,200.571,9.0,10.143,15.247,19.113,0.858,0.967,74.07
2020-04-13,68.0,176.714,5.0,9.286,6.48,16.84,0.476,0.885,74.07
2020-04-14,52.0,156.286,18.0,10.429,4.955,14.893,1.715,0.994,68.52
2020-04-15,105.0,129.143,5.0,9.571,10.006,12.306,0.476,0.912,68.52
2020-04-16,217.0,123.429,3.0,8.143,20.679,11.762,0.286,0.776,68.52
2020-04-17,116.0,116.714,4.0,7.714,11.054,11.122,0.381,0.735,68.52
2020-04-18,57.0,110.714,8.0,7.429,5.432,10.55,0.762,0.708,68.52
2020-04-19,140.0,107.857,5.0,6.857,13.341,10.278,0.476,0.653,68.52
2020-04-20,154.0,120.143,8.0,7.286,14.675,11.449,0.762,0.694,61.11
2020-04-21,133.0,131.714,7.0,5.714,12.674,12.551,0.667,0.545,57.41
2020-04-22,99.0,130.857,7.0,6.0,9.434,12.47,0.667,0.572,57.41
2020-04-23,55.0,107.714,2.0,5.857,5.241,10.264,0.191,0.558,57.41
2020-04-24,86.0,103.429,4.0,5.857,8.195,9.856,0.381,0.558,57.41
2020-04-25,79.0,106.571,4.0,5.286,7.528,10.155,0.381,0.504,57.41
2020-04-26,52.0,94.0,2.0,4.857,4.955,8.958,0.191,0.463,57.41
2020-04-27,41.0,77.857,3.0,4.143,3.907,7.419,0.286,0.395,54.63
2020-04-28,59.0,67.286,4.0,3.714,5.622,6.412,0.381,0.354,54.63
2020-04-29,75.0,63.857,0.0,2.714,7.147,6.085,0.0,0.259,54.63
2020-04-30,103.0,70.714,9.0,3.714,9.815,6.739,0.858,0.354,54.63
2020-05-01,55.0,66.286,4.0,3.714,5.241,6.317,0.381,0.354,54.63
2020-05-02,18.0,57.571,5.0,3.857,1.715,5.486,0.476,0.368,54.63
2020-05-03,26.0,53.857,3.0,4.0,2.478,5.132,0.286,0.381,54.63
2020-05-04,38.0,53.429,4.0,4.143,3.621,5.091,0.381,0.395,54.63
2020-05-05,77.0,56.0,5.0,4.286,7.338,5.336,0.476,0.408,54.63
2020-05-06,78.0,56.429,5.0,5.0,7.433,5.377,0.476,0.476,54.63
2020-05-07,57.0,49.857,8.0,4.857,5.432,4.751,0.762,0.463,54.63
2020-05-08,46.0,48.571,3.0,4.714,4.383,4.628,0.286,0.449,54.63
2020-05-09,18.0,48.571,3.0,4.429,1.715,4.628,0.286,0.422,54.63
2020-05-10,28.0,48.857,4.0,4.571,2.668,4.656,0.381,0.436,54.63
2020-05-11,53.0,51.0,2.0,4.286,5.051,4.86,0.191,0.408,54.63
2020-05-12,45.0,46.429,1.0,3.714,4.288,4.424,0.095,0.354,54.63
2020-05-13,48.0,42.143,7.0,4.0,4.574,4.016,0.667,0.381,54.63
2020-05-14,82.0,45.714,3.0,3.286,7.814,4.356,0.286,0.313,54.63
2020-05-15,55.0,47.0,2.0,3.143,5.241,4.479,0.191,0.299,54.63
2020-05-16,49.0,51.429,1.0,2.857,4.669,4.901,0.095,0.272,54.63
2020-05-17,20.0,50.286,2.0,2.571,1.906,4.792,0.191,0.245,54.63
2020-05-18,111.0,58.571,,,10.577,5.581,,,54.63
2020-05-19,61.0,60.857,5.0,2.857,5.813,5.799,0.476,0.272,54.63
2020-05-20,74.0,64.571,2.0,2.143,7.052,6.153,0.191,0.204,54.63
2020-05-21,33.0,57.571,2.0,2.0,3.145,5.486,0.191,0.191,54.63
2020-05-22,59.0,58.143,6.0,2.571,5.622,5.541,0.572,0.245,54.63
2020-05-23,77.0,62.143,2.0,2.714,7.338,5.922,0.191,0.259,54.63
2020-05-24,65.0,68.571,1.0,2.571,6.194,6.534,0.095,0.245,54.63
2020-05-25,47.0,59.429,2.0,2.857,4.479,5.663,0.191,0.272,42.59
2020-05-26,48.0,57.571,0.0,2.143,4.574,5.486,0.0,0.204,42.59
2020-05-27,36.0,52.143,0.0,1.857,3.431,4.969,0.0,0.177,42.59
2020-05-28,54.0,55.143,2.0,1.857,5.146,5.255,0.191,0.177,42.59
2020-05-29,56.0,54.714,0.0,1.0,5.336,5.214,0.0,0.095,42.59
2020-05-30,34.0,48.571,0.0,0.714,3.24,4.628,0.0,0.068,42.59
2020-05-31,38.0,44.714,1.0,0.714,3.621,4.261,0.095,0.068,42.59
2020-06-01,34.0,42.857,1.0,0.571,3.24,4.084,0.095,0.054,38.89
2020-06-02,62.0,44.857,2.0,0.857,5.908,4.275,0.191,0.082,44.44
2020-06-03,74.0,50.286,2.0,1.143,7.052,4.792,0.191,0.109,44.44
2020-06-04,56.0,50.571,1.0,1.0,5.336,4.819,0.095,0.095,44.44
2020-06-05,35.0,47.571,1.0,1.143,3.335,4.533,0.095,0.109,44.44
2020-06-06,38.0,48.143,0.0,1.143,3.621,4.588,0.0,0.109,44.44
2020-06-07,61.0,51.429,0.0,1.0,5.813,4.901,0.0,0.095,44.44
2020-06-08,69.0,56.429,1.0,1.0,6.575,5.377,0.095,0.095,44.44
2020-06-09,54.0,55.286,0.0,0.714,5.146,5.268,0.0,0.068,38.89
2020-06-10,73.0,55.143,2.0,0.714,6.956,5.255,0.191,0.068,38.89
2020-06-11,31.0,51.571,,,2.954,4.914,,,38.89
2020-06-12,83.0,58.429,1.0,0.571,7.909,5.568,0.095,0.054,38.89
2020-06-13,53.0,60.571,,,5.051,5.772,,,38.89
2020-06-14,33.0,56.571,1.0,,3.145,5.391,0.095,,38.89
2020-06-15,40.0,52.429,1.0,,3.812,4.996,0.095,,38.89
2020-06-16,47.0,51.429,1.0,,4.479,4.901,0.095,,38.89
2020-06-17,51.0,48.286,2.0,,4.86,4.601,0.191,,38.89
2020-06-18,118.0,60.714,1.0,1.0,11.245,5.786,0.095,0.095,38.89
2020-06-19,126.0,66.857,1.0,1.0,12.007,6.371,0.095,0.095,38.89
2020-06-20,42.0,65.286,1.0,1.143,4.002,6.221,0.095,0.109,38.89
2020-06-21,50.0,67.714,0.0,1.0,4.765,6.453,0.0,0.095,32.41
2020-06-22,25.0,65.571,0.0,0.857,2.382,6.248,0.0,0.082,32.41
2020-06-23,127.0,77.0,3.0,1.143,12.102,7.338,0.286,0.109,32.41
2020-06-24,127.0,87.857,4.0,1.429,12.102,8.372,0.381,0.136,32.41
2020-06-25,93.0,84.286,2.0,1.571,8.862,8.032,0.191,0.15,32.41
2020-06-26,168.0,90.286,4.0,2.0,16.009,8.604,0.381,0.191,32.41
2020-06-27,260.0,121.429,0.0,1.857,24.776,11.571,0.0,0.177,32.41
2020-06-28,305.0,157.857,,,29.064,15.043,,,32.41
2020-06-29,202.0,183.143,0.0,1.857,19.249,17.452,0.0,0.177,32.41
2020-06-30,149.0,186.286,1.0,1.571,14.199,17.752,0.095,0.15,34.72
2020-07-01,92.0,181.286,0.0,1.0,8.767,17.275,0.0,0.095,34.72
2020-07-02,132.0,186.857,4.0,1.286,12.579,17.806,0.381,0.123,37.5
2020-07-03,141.0,183.0,0.0,0.714,13.436,17.439,0.0,0.068,37.5
2020-07-04,121.0,163.143,,,11.53,15.546,,,34.72
2020-07-05,75.0,130.286,,,7.147,12.415,,,34.72
2020-07-06,51.0,108.714,2.0,,4.86,10.36,0.191,,34.72
2020-07-07,119.0,104.429,1.0,,11.34,9.951,0.095,,34.72
2020-07-08,129.0,109.714,0.0,,12.293,10.455,0.0,,34.72
2020-07-09,105.0,105.857,1.0,,10.006,10.087,0.095,,34.72
2020-07-10,82.0,97.429,0.0,,7.814,9.284,0.0,,34.72
2020-07-11,114.0,96.429,0.0,0.571,10.863,9.189,0.0,0.054,34.72
2020-07-12,59.0,94.143,0.0,0.571,5.622,8.971,0.0,0.054,34.72
2020-07-13,64.0,96.0,1.0,0.429,6.099,9.148,0.095,0.041,34.72
2020-07-14,103.0,93.714,2.0,0.571,9.815,8.93,0.191,0.054,34.72
2020-07-15,134.0,94.429,0.0,0.571,12.769,8.998,0.0,0.054,34.72
2020-07-16,137.0,99.0,0.0,0.429,13.055,9.434,0.0,0.041,34.72
2020-07-17,130.0,105.857,3.0,0.857,12.388,10.087,0.286,0.082,34.72
2020-07-18,113.0,105.714,0.0,0.857,10.768,10.074,0.0,0.082,37.5
2020-07-19,90.0,110.143,1.0,1.0,8.576,10.496,0.095,0.095,37.5
2020-07-20,153.0,122.857,0.0,0.857,14.58,11.707,0.0,0.082,37.5
2020-07-21,226.0,140.429,1.0,0.714,21.536,13.382,0.095,0.068,37.5
2020-07-22,246.0,156.429,4.0,1.286,23.442,14.906,0.381,0.123,37.5
2020-07-23,230.0,169.714,1.0,1.429,21.917,16.173,0.095,0.136,37.5
2020-07-24,281.0,191.286,4.0,1.571,26.777,18.228,0.381,0.15,37.5
2020-07-25,131.0,193.857,0.0,1.571,12.483,18.473,0.0,0.15,37.5
2020-07-26,112.0,197.0,2.0,1.714,10.673,18.773,0.191,0.163,37.5
2020-07-27,192.0,202.571,2.0,2.0,18.296,19.304,0.191,0.191,36.11
2020-07-28,283.0,210.714,1.0,2.0,26.968,20.08,0.095,0.191,36.11
2020-07-29,294.0,217.571,0.0,1.429,28.016,20.733,0.0,0.136,36.11
2020-07-30,278.0,224.429,5.0,2.0,26.491,21.386,0.476,0.191,36.11
2020-07-31,203.0,213.286,3.0,1.857,19.344,20.325,0.286,0.177,36.11
2020-08-01,125.0,212.429,1.0,2.0,11.912,20.243,0.095,0.191,36.11
2020-08-02,101.0,210.857,1.0,1.857,9.625,20.093,0.095,0.177,36.11
2020-08-03,208.0,213.143,2.0,1.857,19.821,20.311,0.191,0.177,36.11
2020-08-04,278.0,212.429,,,26.491,20.243,,,36.11
2020-08-05,243.0,205.143,5.0,2.429,23.156,19.549,0.476,0.231,36.11
2020-08-06,202.0,194.286,2.0,2.0,19.249,18.514,0.191,0.191,36.11
2020-08-07,329.0,212.286,,,31.351,20.229,,,36.11
2020-08-08,175.0,219.429,0.0,,16.676,20.91,0.0,,36.11
2020-08-09,118.0,221.857,1.0,,11.245,21.141,0.095,,36.11
2020-08-10,141.0,212.286,0.0,,13.436,20.229,0.0,,36.11
2020-08-11,289.0,213.857,1.0,1.286,27.54,20.379,0.095,0.123,36.11
2020-08-12,292.0,220.857,0.0,0.571,27.825,21.046,0.0,0.054,36.11
2020-08-13,326.0,238.571,0.0,0.286,31.065,22.734,0.0,0.027,36.11
2020-08-14,292.0,233.286,3.0,0.714,27.825,22.23,0.286,0.068,36.11
2020-08-15,198.0,236.571,1.0,0.857,18.868,22.544,0.095,0.082,36.11
2020-08-16,121.0,237.0,2.0,1.0,11.53,22.584,0.191,0.095,36.11
2020-08-17,190.0,244.0,2.0,1.286,18.106,23.251,0.191,0.123,36.11
2020-08-18,281.0,242.857,2.0,1.429,26.777,23.142,0.191,0.136,36.11
2020-08-19,315.0,246.143,3.0,1.857,30.017,23.456,0.286,0.177,36.11
2020-08-20,247.0,234.857,2.0,2.143,23.537,22.38,0.191,0.204,36.11
2020-08-21,506.0,265.429,5.0,2.429,48.218,25.293,0.476,0.231,36.11
2020-08-22,239.0,271.286,0.0,2.286,22.775,25.852,0.0,0.218,36.11
2020-08-23,133.0,273.0,1.0,2.143,12.674,26.015,0.095,0.204,36.11
2020-08-24,258.0,282.714,3.0,2.286,24.586,26.941,0.286,0.218,36.11
2020-08-25,367.0,295.0,1.0,2.143,34.972,28.111,0.095,0.204,36.11
2020-08-26,403.0,307.571,2.0,2.0,38.403,29.309,0.191,0.191,36.11
2020-08-27,218.0,303.429,0.0,1.714,20.774,28.915,0.0,0.163,36.11
2020-08-28,608.0,318.0,1.0,1.143,57.938,30.303,0.095,0.109,36.11
2020-08-29,317.0,329.143,2.0,1.429,30.208,31.365,0.191,0.136,36.11
2020-08-30,273.0,349.143,2.0,1.571,26.015,33.271,0.191,0.15,36.11
2020-08-31,251.0,348.143,1.0,1.286,23.918,33.175,0.095,0.123,36.11
2020-09-01,499.0,367.0,1.0,1.286,47.551,34.972,0.095,0.123,36.11
2020-09-02,656.0,403.143,0.0,1.0,62.512,38.417,0.0,0.095,36.11
2020-09-03,679.0,469.0,1.0,1.143,64.704,44.692,0.095,0.109,36.11
2020-09-04,797.0,496.0,3.0,1.429,75.948,47.265,0.286,0.136,36.11
2020-09-05,503.0,522.571,2.0,1.429,47.932,49.797,0.191,0.136,36.11
2020-09-06,404.0,541.286,5.0,1.857,38.498,51.581,0.476,0.177,36.11
2020-09-07,560.0,585.429,1.0,1.857,53.364,55.787,0.095,0.177,36.11
2020-09-08,1161.0,680.0,4.0,2.286,110.635,64.799,0.381,0.218,38.89
2020-09-09,1159.0,751.857,3.0,2.714,110.444,71.646,0.286,0.259,38.89
2020-09-10,1377.0,851.571,4.0,3.143,131.218,81.148,0.381,0.299,38.89
2020-09-11,1447.0,944.429,2.0,3.0,137.888,89.997,0.191,0.286,38.89
2020-09-12,1541.0,1092.714,3.0,3.143,146.846,104.128,0.286,0.299,38.89
2020-09-13,787.0,1147.429,3.0,2.857,74.995,109.341,0.286,0.272,38.89
2020-09-14,1034.0,1215.143,9.0,4.0,98.533,115.794,0.858,0.381,38.89
2020-09-15,1674.0,1288.429,11.0,5.0,159.52,122.778,1.048,0.476,38.89
2020-09-16,2136.0,1428.0,6.0,5.429,203.545,136.078,0.572,0.517,38.89
2020-09-17,3123.0,1677.429,7.0,5.857,297.599,159.847,0.667,0.558,38.89
2020-09-18,2107.0,1771.714,6.0,6.429,200.782,168.831,0.572,0.613,38.89
2020-09-19,2044.0,1843.571,4.0,6.571,194.778,175.679,0.381,0.626,38.89
2020-09-20,984.0,1871.714,4.0,6.714,93.768,178.361,0.381,0.64,38.89
2020-09-21,1474.0,1934.571,19.0,8.143,140.461,184.35,1.811,0.776,38.89
2020-09-22,2394.0,2037.429,9.0,7.857,228.131,194.152,0.858,0.749,38.89
2020-09-23,2306.0,2061.714,24.0,10.429,219.745,196.466,2.287,0.994,38.89
2020-09-24,2910.0,2031.286,12.0,11.143,277.302,193.567,1.144,1.062,38.89
2020-09-25,2944.0,2150.857,14.0,12.286,280.542,204.961,1.334,1.171,38.89
2020-09-26,1976.0,2141.143,10.0,13.143,188.298,204.035,0.953,1.252,38.89
2020-09-27,1303.0,2186.714,15.0,14.714,124.166,208.378,1.429,1.402,38.89
2020-09-28,1286.0,2159.857,12.0,13.714,122.546,205.818,1.144,1.307,38.89
2020-09-29,1960.0,2097.857,18.0,15.0,186.774,199.91,1.715,1.429,38.89
2020-09-30,2920.0,2185.571,19.0,14.286,278.255,208.269,1.811,1.361,38.89
2020-10-01,3492.0,2268.714,23.0,15.857,332.762,216.192,2.192,1.511,38.89
2020-10-02,3796.0,2390.429,21.0,16.857,361.731,227.79,2.001,1.606,38.89
2020-10-03,2554.0,2473.0,12.0,17.143,243.377,235.659,1.144,1.634,38.89
2020-10-04,1841.0,2549.857,16.0,17.286,175.434,242.983,1.525,1.647,38.89
2020-10-05,3120.0,2811.857,31.0,20.0,297.313,267.949,2.954,1.906,48.15
2020-10-06,4456.0,3168.429,36.0,22.571,424.624,301.928,3.431,2.151,48.15
2020-10-07,5338.0,3513.857,35.0,24.857,508.672,334.845,3.335,2.369,48.15
2020-10-08,5397.0,3786.0,40.0,27.286,514.294,360.778,3.812,2.6,48.15
2020-10-09,8617.0,4474.714,36.0,29.429,821.137,426.407,3.431,2.804,48.15
2020-10-10,4631.0,4771.429,43.0,33.857,441.3,454.682,4.098,3.226,48.15
2020-10-11,3105.0,4952.0,39.0,37.143,295.884,471.889,3.716,3.539,48.15
2020-10-12,4311.0,5122.143,64.0,41.857,410.807,488.103,6.099,3.989,48.15
2020-10-13,8326.0,5675.0,55.0,44.571,793.407,540.786,5.241,4.247,48.15
2020-10-14,9543.0,6275.714,66.0,49.0,909.378,598.029,6.289,4.669,48.15
2020-10-15,9720.0,6893.286,58.0,51.571,926.244,656.879,5.527,4.914,48.15
2020-10-16,11102.0,7248.286,53.0,54.0,1057.939,690.708,5.051,5.146,48.15
2020-10-17,8715.0,7831.714,69.0,57.714,830.475,746.305,6.575,5.5,48.15
2020-10-18,5058.0,8110.714,70.0,62.143,481.99,772.891,6.67,5.922,48.15
2020-10-19,8077.0,8648.714,91.0,66.0,769.679,824.159,8.672,6.289,48.15
2020-10-20,11984.0,9171.286,106.0,73.286,1141.987,873.956,10.101,6.984,48.15
2020-10-21,14969.0,9946.429,120.0,81.0,1426.436,947.821,11.435,7.719,48.15
2020-10-22,14150.0,10579.286,106.0,87.857,1348.391,1008.128,10.101,8.372,67.59
2020-10-23,15258.0,11173.0,126.0,98.286,1453.975,1064.705,12.007,9.366,67.59
2020-10-24,12474.0,11710.0,106.0,103.571,1188.68,1115.877,10.101,9.87,67.59
2020-10-25,7300.0,12030.286,124.0,111.286,695.636,1146.398,11.816,10.605,67.59
2020-10-26,10273.0,12344.0,164.0,121.714,978.941,1176.292,15.628,11.598,73.15
2020-10-27,15663.0,12869.571,182.0,132.571,1492.569,1226.375,17.343,12.633,73.15
2020-10-28,12980.0,12585.429,128.0,133.714,1236.898,1199.299,12.197,12.742,73.15
2020-10-29,13055.0,12429.0,187.0,145.286,1244.045,1184.392,17.82,13.845,73.15
2020-10-30,13605.0,12192.857,216.0,158.143,1296.456,1161.89,20.583,15.07,73.15
2020-10-31,11429.0,12043.571,173.0,167.714,1089.1,1147.664,16.486,15.982,73.15
2020-11-01,6542.0,11935.286,178.0,175.429,623.404,1137.345,16.962,16.717,73.15
2020-11-02,9252.0,11789.429,225.0,184.143,881.647,1123.446,21.441,17.547,73.15
2020-11-03,12089.0,11278.857,259.0,195.143,1151.993,1074.792,24.681,18.596,73.15
2020-11-04,15731.0,11671.857,220.0,208.286,1499.049,1112.242,20.964,19.848,73.15
2020-11-05,13229.0,11696.714,197.0,209.714,1260.626,1114.611,18.773,19.984,73.15
2020-11-06,11552.0,11403.429,154.0,200.857,1100.821,1086.663,14.675,19.14,73.15
2020-11-07,7723.0,10874.0,197.0,204.286,735.945,1036.212,18.773,19.467,73.15
2020-11-08,3608.0,10454.857,177.0,204.143,343.816,996.271,16.867,19.453,73.15
2020-11-09,2353.0,9469.286,170.0,196.286,224.224,902.353,16.2,18.705,73.15
2020-11-10,12699.0,9556.429,295.0,201.429,1210.121,910.657,28.111,19.195,73.15
2020-11-11,8925.0,8584.143,247.0,205.286,850.487,818.006,23.537,19.562,73.15
2020-11-12,7870.0,7818.571,185.0,203.571,749.953,745.052,17.629,19.399,73.15
2020-11-13,7355.0,7219.0,171.0,206.0,700.877,687.918,16.295,19.63,73.15
2020-11-14,4199.0,6715.571,132.0,196.714,400.134,639.945,12.579,18.745,73.15
2020-11-15,1887.0,6469.714,150.0,192.857,179.817,616.516,14.294,18.378,73.15
2020-11-16,5407.0,6906.0,208.0,198.286,515.247,658.091,19.821,18.895,73.15
2020-11-17,4246.0,5698.429,142.0,176.429,404.613,543.018,13.532,16.812,73.15
2020-11-18,5515.0,5211.286,182.0,167.143,525.539,496.597,17.343,15.927,69.44
2020-11-19,6471.0,5011.429,134.0,159.857,616.639,477.552,12.769,15.233,69.44
2020-11-20,5808.0,4790.429,147.0,156.429,553.46,456.493,14.008,14.906,69.44
2020-11-21,3187.0,4645.857,74.0,148.143,303.698,442.716,7.052,14.117,69.44
2020-11-22,1513.0,4592.429,101.0,141.143,144.178,437.625,9.625,13.45,69.44
2020-11-23,4375.0,4445.0,164.0,134.857,416.905,423.576,15.628,12.851,69.44
2020-11-24,5896.0,4680.714,139.0,134.429,561.845,446.038,13.246,12.81,69.44
2020-11-25,2681.0,4275.857,112.0,124.429,255.48,407.458,10.673,11.857,69.44
2020-11-26,6305.0,4252.143,168.0,129.286,600.82,405.198,16.009,12.32,69.44
2020-11-27,4464.0,4060.143,188.0,135.143,425.386,386.902,17.915,12.878,69.44
2020-11-28,2665.0,3985.571,87.0,137.0,253.955,379.796,8.29,13.055,69.44
2020-11-29,1074.0,3922.857,84.0,134.571,102.344,373.819,8.005,12.824,69.44
2020-11-30,3575.0,3808.571,157.0,133.571,340.671,362.929,14.961,12.728,69.44
2020-12-01,5176.0,3705.714,112.0,129.714,493.235,353.127,10.673,12.361,69.44
2020-12-02,4568.0,3975.286,108.0,129.143,435.297,378.815,10.292,12.306,69.44
2020-12-03,4621.0,3734.714,126.0,123.143,440.347,355.891,12.007,11.735,62.04
2020-12-04,4743.0,3774.571,97.0,110.143,451.973,359.689,9.243,10.496,62.04
2020-12-05,1773.0,3647.143,77.0,108.714,168.954,347.546,7.338,10.36,62.04
2020-12-06,2654.0,3872.857,87.0,109.143,252.907,369.055,8.29,10.401,62.04
2020-12-07,0.0,3362.143,0.0,86.714,0.0,320.387,0.0,8.263,62.04
2020-12-08,4237.0,3228.0,134.0,89.857,403.755,307.605,12.769,8.563,62.04
2020-12-09,5857.0,3412.143,100.0,88.714,558.129,325.152,9.529,8.454,62.04
2020-12-10,6406.0,3667.143,90.0,83.571,610.445,349.452,8.576,7.964,62.04
2020-12-11,5872.0,3828.429,115.0,86.143,559.558,364.821,10.959,8.209,62.04
2020-12-12,6217.0,4463.286,109.0,90.714,592.434,425.318,10.387,8.644,62.04
2020-12-13,3657.0,4606.571,85.0,90.429,348.485,438.972,8.1,8.617,62.04
2020-12-14,2000.0,4892.286,74.0,101.0,190.585,466.199,7.052,9.625,62.04
2020-12-15,5172.0,5025.857,134.0,101.0,492.854,478.927,12.769,9.625,62.04
2020-12-16,7897.0,5317.286,139.0,106.571,752.526,506.698,13.246,10.155,62.04
2020-12-17,8256.0,5581.571,154.0,115.714,786.736,531.883,14.675,11.027,62.04
2020-12-18,7602.0,5828.714,127.0,117.429,724.415,555.434,12.102,11.19,65.74
2020-12-19,8830.0,6202.0,108.0,117.286,841.434,591.005,10.292,11.176,65.74
2020-12-20,5304.0,6437.286,60.0,113.714,505.432,613.426,5.718,10.836,65.74
2020-12-21,3383.0,6634.857,80.0,114.571,322.375,632.253,7.623,10.918,69.44
2020-12-22,7891.0,7023.286,151.0,117.0,751.954,669.267,14.389,11.149,69.44
2020-12-23,10898.0,7452.0,102.0,111.714,1038.499,710.121,9.72,10.646,73.15
2020-12-24,14149.0,8293.857,112.0,105.714,1348.296,790.344,10.673,10.074,73.15
2020-12-25,4402.0,7836.714,83.0,99.429,419.478,746.781,7.909,9.475,73.15
2020-12-26,2706.0,6961.857,91.0,97.0,257.862,663.414,8.672,9.243,73.15
2020-12-27,3030.0,6637.0,94.0,101.857,288.737,632.457,8.958,9.706,73.15
2020-12-28,3741.0,6688.143,108.0,105.857,356.49,637.331,10.292,10.087,73.15
2020-12-29,10862.0,7112.571,150.0,105.714,1035.069,677.776,14.294,10.074,73.15
2020-12-30,16420.0,7901.429,127.0,109.286,1564.705,752.948,12.102,10.414,73.15
2020-12-31,17039.0,8314.286,151.0,114.857,1623.691,792.29,14.389,10.945,73.15
2021-01-01,13361.0,9594.143,131.0,121.714,1273.205,914.251,12.483,11.598,73.15
2021-01-02,3447.0,9700.0,116.0,125.286,328.474,924.339,11.054,11.939,73.15
2021-01-03,5012.0,9983.143,133.0,130.857,477.607,951.32,12.674,12.47,73.15
2021-01-04,6233.0,10339.143,110.0,131.143,593.959,985.244,10.482,12.497,73.15
2021-01-05,12921.0,10633.286,187.0,136.429,1231.276,1013.274,17.82,13.001,73.15
2021-01-06,17332.0,10763.571,179.0,143.857,1651.612,1025.689,17.057,13.709,73.15
2021-01-07,17773.0,10868.429,185.0,148.714,1693.636,1035.681,17.629,14.171,73.15
2021-01-08,14861.0,11082.714,179.0,155.571,1416.144,1056.101,17.057,14.825,73.15
2021-01-09,13115.0,12463.857,178.0,164.429,1249.763,1187.714,16.962,15.669,73.15
2021-01-10,8449.0,12954.857,137.0,165.0,805.128,1234.503,13.055,15.723,73.15
2021-01-11,4289.0,12677.143,157.0,171.714,408.71,1208.038,14.961,16.363,73.15
2021-01-12,9345.0,12166.286,213.0,175.429,890.51,1159.357,20.297,16.717,73.15
2021-01-13,10801.0,11233.286,171.0,174.286,1029.256,1070.449,16.295,16.608,73.15
2021-01-14,10922.0,10254.571,200.0,176.429,1040.786,977.185,19.059,16.812,73.15
2021-01-15,8083.0,9286.286,173.0,175.571,770.25,884.915,16.486,16.731,73.15
2021-01-16,9301.0,8741.429,186.0,176.714,886.317,832.994,17.724,16.84,73.15
2021-01-17,5253.0,8284.857,123.0,174.714,500.572,789.486,11.721,16.649,73.15
2021-01-18,2693.0,8056.857,111.0,168.143,256.623,767.759,10.577,16.023,73.15
2021-01-19,7651.0,7814.857,197.0,165.857,729.084,744.698,18.773,15.805,73.15
2021-01-20,9628.0,7647.286,174.0,166.286,917.478,728.73,16.581,15.846,73.15
2021-01-21,8228.0,7262.429,153.0,159.571,784.068,692.056,14.58,15.206,78.7
