time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-12,1.0,,1.0,,1.237,,1.237,,25.0
2020-03-13,0.0,,0.0,,0.0,,0.0,,25.0
2020-03-14,0.0,,0.0,,0.0,,0.0,,25.0
2020-03-15,3.0,,0.0,,3.71,,0.0,,25.0
2020-03-16,0.0,,0.0,,0.0,,0.0,,36.11
2020-03-17,3.0,1.0,0.0,0.143,3.71,1.237,0.0,0.177,36.11
2020-03-18,0.0,1.0,0.0,0.143,0.0,1.237,0.0,0.177,41.67
2020-03-19,0.0,0.857,0.0,0.0,0.0,1.06,0.0,0.0,41.67
2020-03-20,0.0,0.857,0.0,0.0,0.0,1.06,0.0,0.0,41.67
2020-03-21,0.0,0.857,0.0,0.0,0.0,1.06,0.0,0.0,41.67
2020-03-22,12.0,2.143,0.0,0.0,14.838,2.65,0.0,0.0,41.67
2020-03-23,1.0,2.286,0.0,0.0,1.237,2.826,0.0,0.0,41.67
2020-03-24,,,0.0,0.0,,,0.0,0.0,41.67
2020-03-25,0.0,1.857,0.0,0.0,0.0,2.296,0.0,0.0,41.67
2020-03-26,0.0,1.857,0.0,0.0,0.0,2.296,0.0,0.0,45.37
2020-03-27,0.0,1.857,0.0,0.0,0.0,2.296,0.0,0.0,48.15
2020-03-28,3.0,2.286,0.0,0.0,3.71,2.826,0.0,0.0,57.41
2020-03-29,0.0,0.571,0.0,0.0,0.0,0.707,0.0,0.0,57.41
2020-03-30,0.0,0.429,0.0,0.0,0.0,0.53,0.0,0.0,57.41
2020-03-31,4.0,1.0,1.0,0.143,4.946,1.237,1.237,0.177,57.41
2020-04-01,7.0,2.0,0.0,0.143,8.656,2.473,0.0,0.177,57.41
2020-04-02,0.0,2.0,2.0,0.429,0.0,2.473,2.473,0.53,57.41
2020-04-03,4.0,2.571,0.0,0.429,4.946,3.18,0.0,0.53,85.19
2020-04-04,0.0,2.143,0.0,0.429,0.0,2.65,0.0,0.53,85.19
2020-04-05,1.0,2.286,0.0,0.429,1.237,2.826,0.0,0.53,85.19
2020-04-06,7.0,3.286,0.0,0.429,8.656,4.063,0.0,0.53,85.19
2020-04-07,2.0,3.0,1.0,0.429,2.473,3.71,1.237,0.53,85.19
2020-04-08,4.0,2.571,1.0,0.571,4.946,3.18,1.237,0.707,85.19
2020-04-09,0.0,2.571,0.0,0.286,0.0,3.18,0.0,0.353,87.04
2020-04-10,0.0,2.0,0.0,0.286,0.0,2.473,0.0,0.353,87.04
2020-04-11,8.0,3.143,0.0,0.286,9.892,3.886,0.0,0.353,87.04
2020-04-12,0.0,3.0,0.0,0.286,0.0,3.71,0.0,0.353,87.04
2020-04-13,0.0,2.0,0.0,0.286,0.0,2.473,0.0,0.353,87.04
2020-04-14,2.0,2.0,0.0,0.143,2.473,2.473,0.0,0.177,87.04
2020-04-15,8.0,2.571,0.0,0.0,9.892,3.18,0.0,0.0,87.04
2020-04-16,0.0,2.571,0.0,0.0,0.0,3.18,0.0,0.0,87.04
2020-04-17,8.0,3.714,0.0,0.0,9.892,4.593,0.0,0.0,87.04
2020-04-18,0.0,2.571,0.0,0.0,0.0,3.18,0.0,0.0,87.04
2020-04-19,2.0,2.857,1.0,0.143,2.473,3.533,1.237,0.177,87.04
