time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-12,3.0,,,,0.268,,,,13.89
2020-03-13,1.0,,,,0.089,,,,13.89
2020-03-14,0.0,,,,0.0,,,,13.89
2020-03-15,0.0,,,,0.0,,,,13.89
2020-03-16,0.0,,,,0.0,,,,13.89
2020-03-17,1.0,0.714,,,0.089,0.064,,,13.89
2020-03-18,2.0,1.0,1.0,,0.178,0.089,0.089,,13.89
2020-03-19,4.0,1.143,0.0,,0.357,0.102,0.0,,13.89
2020-03-20,5.0,1.714,0.0,,0.446,0.153,0.0,,30.56
2020-03-21,5.0,2.429,0.0,,0.446,0.217,0.0,,30.56
2020-03-22,14.0,4.429,0.0,,1.249,0.395,0.0,,30.56
2020-03-23,5.0,5.143,0.0,0.143,0.446,0.459,0.0,0.013,41.67
2020-03-24,8.0,6.143,0.0,0.143,0.714,0.548,0.0,0.013,66.67
2020-03-25,9.0,7.143,0.0,0.0,0.803,0.637,0.0,0.0,66.67
2020-03-26,10.0,8.0,1.0,0.143,0.892,0.714,0.089,0.013,66.67
2020-03-27,13.0,9.143,0.0,0.143,1.159,0.815,0.0,0.013,66.67
2020-03-28,39.0,14.0,1.0,0.286,3.478,1.249,0.089,0.025,66.67
2020-03-29,20.0,14.857,0.0,0.286,1.784,1.325,0.0,0.025,66.67
2020-03-30,31.0,18.571,1.0,0.429,2.765,1.656,0.089,0.038,66.67
2020-03-31,16.0,19.714,2.0,0.714,1.427,1.758,0.178,0.064,66.67
2020-04-01,26.0,22.143,0.0,0.714,2.319,1.975,0.0,0.064,66.67
2020-04-02,21.0,23.714,0.0,0.571,1.873,2.115,0.0,0.051,66.67
2020-04-03,36.0,27.0,0.0,0.571,3.211,2.408,0.0,0.051,66.67
2020-04-04,19.0,24.143,0.0,0.429,1.695,2.153,0.0,0.038,66.67
2020-04-05,32.0,25.857,2.0,0.714,2.854,2.306,0.178,0.064,66.67
2020-04-06,30.0,25.714,1.0,0.714,2.676,2.293,0.089,0.064,66.67
2020-04-07,46.0,30.0,2.0,0.714,4.103,2.676,0.178,0.064,70.37
2020-04-08,61.0,35.0,1.0,0.857,5.441,3.122,0.089,0.076,70.37
2020-04-09,58.0,40.286,3.0,1.286,5.173,3.593,0.268,0.115,70.37
2020-04-10,49.0,42.143,0.0,1.286,4.37,3.759,0.0,0.115,70.37
2020-04-11,56.0,47.429,1.0,1.429,4.995,4.23,0.089,0.127,73.15
2020-04-12,49.0,49.857,2.0,1.429,4.37,4.447,0.178,0.127,73.15
2020-04-13,57.0,53.714,3.0,1.714,5.084,4.791,0.268,0.153,73.15
2020-04-14,40.0,52.857,0.0,1.429,3.568,4.714,0.0,0.127,73.15
2020-04-15,48.0,51.0,3.0,1.714,4.281,4.549,0.268,0.153,73.15
2020-04-16,48.0,49.571,3.0,1.714,4.281,4.421,0.268,0.153,73.15
2020-04-17,61.0,51.286,4.0,2.286,5.441,4.574,0.357,0.204,83.33
2020-04-18,63.0,52.286,1.0,2.286,5.619,4.663,0.089,0.204,83.33
2020-04-19,49.0,52.286,2.0,2.286,4.37,4.663,0.178,0.204,83.33
2020-04-20,52.0,51.571,2.0,2.143,4.638,4.6,0.178,0.191,83.33
2020-04-21,50.0,53.0,2.0,2.429,4.459,4.727,0.178,0.217,83.33
2020-04-22,52.0,53.571,2.0,2.286,4.638,4.778,0.178,0.204,83.33
2020-04-23,46.0,53.286,3.0,2.286,4.103,4.752,0.268,0.204,83.33
2020-04-24,50.0,51.714,6.0,2.571,4.459,4.612,0.535,0.229,83.33
2020-04-25,52.0,50.143,2.0,2.714,4.638,4.472,0.178,0.242,83.33
2020-04-26,32.0,47.714,3.0,2.857,2.854,4.256,0.268,0.255,83.33
2020-04-27,20.0,43.143,2.0,2.857,1.784,3.848,0.178,0.255,83.33
2020-04-28,48.0,42.857,2.0,2.857,4.281,3.822,0.178,0.255,83.33
2020-04-29,30.0,39.714,0.0,2.571,2.676,3.542,0.0,0.229,83.33
2020-04-30,34.0,38.0,3.0,2.571,3.032,3.389,0.268,0.229,83.33
2020-05-01,36.0,36.0,3.0,2.143,3.211,3.211,0.268,0.191,83.33
2020-05-02,74.0,39.143,2.0,2.143,6.6,3.491,0.178,0.191,83.33
2020-05-03,38.0,40.0,1.0,1.857,3.389,3.568,0.089,0.166,83.33
2020-05-04,19.0,39.857,2.0,1.857,1.695,3.555,0.178,0.166,83.33
2020-05-05,17.0,35.429,0.0,1.571,1.516,3.16,0.0,0.14,85.19
2020-05-06,18.0,33.714,0.0,1.571,1.605,3.007,0.0,0.14,85.19
2020-05-07,26.0,32.571,4.0,1.714,2.319,2.905,0.357,0.153,85.19
2020-05-08,12.0,29.143,1.0,1.429,1.07,2.599,0.089,0.127,85.19
2020-05-09,13.0,20.429,0.0,1.143,1.159,1.822,0.0,0.102,85.19
2020-05-10,12.0,16.714,3.0,1.429,1.07,1.491,0.268,0.127,85.19
2020-05-11,17.0,16.429,0.0,1.143,1.516,1.465,0.0,0.102,100.0
2020-05-12,21.0,17.0,1.0,1.286,1.873,1.516,0.089,0.115,100.0
2020-05-13,6.0,15.286,1.0,1.429,0.535,1.363,0.089,0.127,100.0
2020-05-14,20.0,14.429,0.0,0.857,1.784,1.287,0.0,0.076,100.0
2020-05-15,10.0,14.143,0.0,0.714,0.892,1.261,0.0,0.064,100.0
2020-05-16,22.0,15.429,0.0,0.714,1.962,1.376,0.0,0.064,100.0
2020-05-17,10.0,15.143,0.0,0.286,0.892,1.351,0.0,0.025,100.0
2020-05-18,9.0,14.0,0.0,0.286,0.803,1.249,0.0,0.025,100.0
2020-05-19,6.0,11.857,0.0,0.143,0.535,1.058,0.0,0.013,100.0
2020-05-20,13.0,12.857,0.0,0.0,1.159,1.147,0.0,0.0,100.0
2020-05-21,8.0,11.143,1.0,0.143,0.714,0.994,0.089,0.013,100.0
2020-05-22,8.0,10.857,1.0,0.286,0.714,0.968,0.089,0.025,100.0
2020-05-23,15.0,9.857,0.0,0.286,1.338,0.879,0.0,0.025,100.0
2020-05-24,10.0,9.857,1.0,0.429,0.892,0.879,0.089,0.038,100.0
2020-05-25,6.0,9.429,0.0,0.429,0.535,0.841,0.0,0.038,100.0
2020-05-26,16.0,10.857,0.0,0.429,1.427,0.968,0.0,0.038,100.0
2020-05-27,11.0,10.571,0.0,0.429,0.981,0.943,0.0,0.038,100.0
