time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-02,1.0,,,,0.027,,,,11.11
2020-03-03,0.0,,,,0.0,,,,11.11
2020-03-04,0.0,,,,0.0,,,,11.11
2020-03-05,4.0,,,,0.11,,,,11.11
2020-03-06,0.0,,,,0.0,,,,11.11
2020-03-07,0.0,0.714,,,0.0,0.02,,,11.11
2020-03-08,6.0,1.571,,,0.165,0.043,,,19.44
2020-03-09,4.0,2.0,,,0.11,0.055,,,30.56
2020-03-10,5.0,2.714,,,0.137,0.075,,,30.56
2020-03-11,1.0,2.857,,,0.027,0.078,,,30.56
2020-03-12,24.0,5.714,,,0.659,0.157,,,30.56
2020-03-13,41.0,11.571,,,1.126,0.318,,,41.67
2020-03-14,17.0,14.0,,,0.467,0.385,,,41.67
2020-03-15,0.0,13.143,,,0.0,0.361,,,52.78
2020-03-16,15.0,14.714,,,0.412,0.404,,,68.52
2020-03-17,53.0,21.571,,,1.456,0.592,,,68.52
2020-03-18,0.0,21.429,,,0.0,0.589,,,68.52
2020-03-19,103.0,32.714,,,2.829,0.899,,,68.52
2020-03-20,70.0,36.857,,,1.923,1.012,,,68.52
2020-03-21,48.0,41.286,,,1.318,1.134,,,79.63
2020-03-22,119.0,58.286,,,3.268,1.601,,,79.63
2020-03-23,51.0,63.429,,,1.401,1.742,,,87.04
2020-03-24,205.0,85.143,1.0,,5.631,2.339,0.027,,87.04
2020-03-25,133.0,104.143,1.0,,3.653,2.86,0.027,,89.81
2020-03-26,112.0,105.429,1.0,,3.076,2.896,0.027,,89.81
2020-03-27,92.0,108.571,0.0,,2.527,2.982,0.0,,89.81
2020-03-28,99.0,115.857,1.0,,2.719,3.182,0.027,,89.81
2020-03-29,96.0,112.571,4.0,1.143,2.637,3.092,0.11,0.031,89.81
2020-03-30,154.0,127.286,0.0,1.143,4.23,3.496,0.0,0.031,89.81
2020-03-31,110.0,113.714,2.0,1.286,3.021,3.123,0.055,0.035,89.81
2020-04-01,157.0,117.143,6.0,2.0,4.312,3.217,0.165,0.055,89.81
2020-04-02,165.0,124.714,5.0,2.571,4.532,3.425,0.137,0.071,89.81
2020-04-03,154.0,133.571,4.0,3.143,4.23,3.669,0.11,0.086,89.81
2020-04-04,140.0,139.429,4.0,3.571,3.845,3.83,0.11,0.098,89.81
2020-04-05,223.0,157.571,5.0,3.714,6.125,4.328,0.137,0.102,89.81
2020-04-06,203.0,164.571,4.0,4.286,5.576,4.52,0.11,0.118,91.67
2020-04-07,190.0,176.0,3.0,4.429,5.219,4.834,0.082,0.122,91.67
